series,stage,budget,policy_value
Causal Forest,0p2,0.01,0.0004834262401827211
Causal Forest,0p2,0.02,0.0007069070343982973
Causal Forest,0p2,0.05,0.0009196343290746749
Causal Forest,0p2,0.1,0.0010065952835116912
Causal Forest,0p2,0.15,0.0010430626999800047
Causal Forest,0p2,0.2,0.0010865433109751286
Causal Forest,0p2,0.25,0.0011206732932158737
Causal Forest,0p2,0.3,0.0011005691649222864
Causal Forest,0p3,0.01,0.0004812520042816205
Causal Forest,0p3,0.02,0.0006707599249890322
Causal Forest,0p3,0.05,0.0008830213404094615
Causal Forest,0p3,0.1,0.0010023989150483358
Causal Forest,0p3,0.15,0.0010273343315377978
Causal Forest,0p3,0.2,0.0010588150773458299
Causal Forest,0p3,0.25,0.0010687892201592095
Causal Forest,0p3,0.3,0.0010825036021169258
Causal Forest,0p5,0.01,0.0005178414036363254
Causal Forest,0p5,0.02,0.0006588498609645484
Causal Forest,0p5,0.05,0.0008948613638136344
Causal Forest,0p5,0.1,0.0010216567670875392
Causal Forest,0p5,0.15,0.0010678491927640056
Causal Forest,0p5,0.2,0.0010828103022948435
Causal Forest,0p5,0.25,0.0010820622468182984
Causal Forest,0p5,0.3,0.0010944051621812419
DR-Learner,0p5,0.01,0.00046080217354998033
DR-Learner,0p5,0.02,0.0006019976447473341
DR-Learner,0p5,0.05,0.0008021024847223923
DR-Learner,0p5,0.1,0.0009315372735374781
DR-Learner,0p5,0.15,0.0009797656604011785
DR-Learner,0p5,0.2,0.0010033860214538612
DR-Learner,0p5,0.25,0.0010113993380107156
DR-Learner,0p5,0.3,0.0010166073926208656
Response,0p5,0.01,0.0005127920291696584
Response,0p5,0.02,0.0006534264587596104
Response,0p5,0.05,0.0008943003222062221
Response,0p5,0.1,0.001018696042254056
Response,0p5,0.15,0.0010669141234183157
Response,0p5,0.2,0.0010732725949689176
Response,0p5,0.25,0.001083383032269053
Response,0p5,0.3,0.001119124216395262
S-Learner,0p5,0.01,0.0005466415394831997
S-Learner,0p5,0.02,0.0006975617318756076
S-Learner,0p5,0.05,0.0008673703250507086
S-Learner,0p5,0.1,0.0010141762123221183
S-Learner,0p5,0.15,0.0010557459823098592
S-Learner,0p5,0.2,0.001068926163507508
S-Learner,0p5,0.25,0.0010844398405726635
S-Learner,0p5,0.3,0.0010854941826153514
T-Learner,0p5,0.01,0.000466786617362316
T-Learner,0p5,0.02,0.000621073059399157
T-Learner,0p5,0.05,0.0007884504722754946
T-Learner,0p5,0.1,0.0008980405995889371
T-Learner,0p5,0.15,0.0009438589975271512
T-Learner,0p5,0.2,0.0009728461472431636
T-Learner,0p5,0.25,0.0009704149669444021
T-Learner,0p5,0.3,0.000981088115618638
X-Learner,0p5,0.01,0.0004709009224832957
X-Learner,0p5,0.02,0.0005810520914041626
X-Learner,0p5,0.05,0.0008799002542828045
X-Learner,0p5,0.1,0.0009937917005863623
X-Learner,0p5,0.15,0.001040358154001101
X-Learner,0p5,0.2,0.0010478387087665174
X-Learner,0p5,0.25,0.0010566283606158842
X-Learner,0p5,0.3,0.0010627998182973553
