model,n,policy_area_dr,autoc_dr,qini_score,auuc_score,score_mean,score_std,negative_score_fraction,unique_score_count
Causal Forest,1397959,0.0009135472078745811,0.003763003629464119,0.18998627988184852,0.006140195187341621,0.0009368487590424589,0.003029092298017707,0.11939763612523686,516404
Response,1397959,0.0009123494890541686,0.0038225066800121484,0.19298949565424836,0.006244154412386848,0.002921068683896761,0.02063128486968781,0.0,321249
Ensemble-QAgg,1397959,0.0009112238455428387,0.0032705514593308893,0.20984481512696238,0.006780259036862266,0.0005978663762456557,0.0020146761508067134,0.16786829942795176,425169
Ensemble-RankAverage,1397959,0.0009076979367419912,0.003331758975899289,0.1950220946080579,0.006303566332109882,0.5000003574819865,0.2443663230778041,0.0,431891
S-Under7,1397959,0.0008955669260323205,0.003115507997017404,0.2059038094803281,0.006658019454220082,0.0005977922571054034,0.0021529221771310007,0.024783273329189198,368900
X-Renormalized,1397959,0.0008897943232772273,0.003282911402758766,0.20181184602237062,0.0065213810607623,0.0005979404954111778,0.001988140237801344,0.23723800197287617,396407
Ensemble-BestSingle,1397959,0.0008897943232772273,0.003282911402758766,0.20181184602237062,0.0065213810607623,0.0005979404954111778,0.001988140237801344,0.23723800197287617,396407
Rank-K2,1397959,0.0008619357311441076,0.002453940781769494,0.18499339704847514,0.005982812509861433,-0.006724329991874373,0.009087026384656012,0.8337161533349691,171861
Rank-K1,1397959,0.0008518915951483597,0.0023999968983143003,0.18565666177997062,0.0060048489884412335,-0.010075199443491454,0.015163851184561934,0.8219497138328091,178617
Rank-K05,1397959,0.0008484528356885094,0.0023882122249939,0.18645405332059364,0.00603229401549851,-0.01439615847865127,0.023745679619875257,0.8019727331059066,168476
