feature,mean_treatment,mean_control,mean_difference,pooled_sd,smd,abs_smd,ks_stat,ks_p_value
f3,4.171539,4.235098,-0.063559055,1.2963104,-0.049030736,0.049030736,0.013780295848846436,3.952033809256385e-15
f6,-4.1779737,-3.991677,-0.1862967,4.5236454,-0.041182872,0.041182872,0.014573067426681519,7.18568754100161e-17
f5,4.0264215,4.03939,-0.01296854,0.41454595,-0.03128372,0.03128372,0.005151484161615372,0.01759045571088791
f1,10.070324,10.068122,0.002202034,0.09975856,0.022073636,0.022073636,0.0022301077842712402,0.76633220911026
f9,16.038374,15.909148,0.12922573,6.9393735,0.018622104,0.018622104,0.005545377731323242,0.008298587054014206
f8,3.9335444,3.9345462,-0.0010018349,0.05612777,-0.017849183,0.017849183,0.006512001156806946,0.0010387675138190389
f7,5.104782,5.0838175,0.020964622,1.1913801,0.017596921,0.017596921,0.0051514506340026855,0.01759153977036476
f10,5.3333707,5.331663,0.0017075539,0.16610157,0.010280179,0.010280179,0.002467513084411621,0.6487700343132019
f4,10.338847,10.335402,0.0034456253,0.33752194,0.0102085965,0.0102085965,0.002176821231842041,0.7913885116577148
f11,-0.17096803,-0.17084417,-0.00012385845,0.02268107,-0.0054608732,0.0054608732,0.0010109972208738327,0.9999885559082031
f2,8.44604,8.447674,-0.0016336441,0.2997323,-0.0054503437,0.0054503437,0.0047980546951293945,0.0329294316470623
f0,19.616386,19.641096,-0.024709702,5.385828,-0.0045879115,0.0045879115,0.009853005409240723,6.068332680797539e-08
