metric,value
n_rows,13979592.0
n_columns,16.0
n_missing_cells,0.0
treatment_rate,0.8500001287591226
conversion_rate,0.002916680257907384
conversion_events_control,4063.0
ate_conversion,0.0011518730521316279
ate_conversion_ci_low,0.0010845057902364738
ate_conversion_ci_high,0.001219240314026782
risk_ratio_conversion,1.5944881177252619
mde_conversion,9.228077217163973e-05
ate_over_mde,12.482264994371475
max_mode_share,0.9876999271509498
n_features_mode_share_above_0p9,6.0
n_features_stratifiable_by_decile,6.0
median_observed_features_per_row,2.0
n_sentinel_patterns,53.0
n_shared_sentinel_mask_pairs,4.0
duplicate_row_share,0.1516604347251336
propensity_auc_linear,0.5073786173054401
propensity_auc_tree,0.5060721290054074
max_abs_smd,0.04903073608875275
prognostic_pearson_r,0.9838401771794731
prognostic_spearman_rho,0.9590656284760846
q_ratio_additive_over_multiplicative,
pooled_risk_ratio_across_strata,
