feature,bin,n,n_treated,n_control,events_treated,events_control,baseline_rate,treated_rate,effect,standard_error,log_risk_ratio,se_log_risk_ratio,risk_ratio,effect_ci_low,effect_ci_high
f0,0,4193882,3561901,631981,15901.0,1776.0,0.002810211066471935,0.004464189206830847,0.001653978140358912,7.537834921802363e-05,0.4628280160752347,0.024981775647910626,1.5885601121183364,0.0015062392906775026,0.0018017169900403213
f0,1,1397955,1198849,199106,12225.0,1213.0,0.006092232278283929,0.01019728089192217,0.00410504861363824,0.00019705501796132464,0.5151065428106296,0.030005754707541316,1.6738168254468717,0.0037188278754611503,0.0044912693518153295
f0,2,1397959,1188913,209046,4873.0,569.0,0.0027218889622379764,0.004098701923521738,0.0013768129612837616,0.00012813427463540233,0.4093442088762964,0.04423863581239771,1.505829951326055,0.001125674397813209,0.0016279515247543143
f0,3,1397962,1188029,209933,799.0,93.0,0.00044299848046757773,0.0006725425052755446,0.00022954402480796692,5.172014780434558e-05,0.4174989744058573,0.10953833791324777,1.5181598468818378,0.00012817439783636124,0.0003309136517795726
f0,4,1397958,1186725,211233,1248.0,173.0,0.000819000819000819,0.0010516336977817102,0.00023263287878089113,6.898765249459629e-05,0.2500150527847839,0.08109286101812165,1.284044744991468,9.741956451351759e-05,0.00036784619304826467
f0,5,1397957,1186435,211522,597.0,85.0,0.00040184945301197984,0.0005031881224003001,0.00010133866938832024,4.819689499351387e-05,0.2248865774915167,0.11590589828218244,1.252180682663015,6.874491034374215e-06,0.00019580284774226627
f0,6,1397959,1185084,212875,701.0,101.0,0.0004744568408690546,0.0005915192509560504,0.0001170624100869958,5.221675162754006e-05,0.22052357204330125,0.10640480350069985,1.2467293123492003,1.471945750734404e-05,0.00021940536266664757
f0,7,1397960,1186719,211241,367.0,53.0,0.00025089826312126907,0.00030925602438319435,5.835776126192528e-05,3.805198565439038e-05,0.2091219609527429,0.1469256396265438,1.232595317862837,-1.6222760160914665e-05,0.00013293828268476522
f2,0,8387755,7132583,1255172,24839.0,2792.0,0.0022243963377130784,0.003482469113924086,0.0012580727762110076,4.748463006706813e-05,0.44825598778039805,0.019937114976494825,1.565579413561004,0.0011650046114603464,0.0013511409409616688
f2,1,1397959,1191539,206420,8090.0,878.0,0.004253463811646158,0.006789538571544867,0.002536074759898709,0.00016179512349440297,0.4676493167014779,0.03545247263252269,1.5962375306814254,0.0022189621449754692,0.002853187374821949
f2,2,1397973,1188390,209583,2417.0,235.0,0.001121274149143776,0.0020338441084155876,0.0009125699592718117,8.397602554103169e-05,0.5954619799687867,0.06828940131079488,1.813868722442826,0.0007479799736465739,0.0010771599448970496
f2,3,1397956,1185549,212407,931.0,114.0,0.0005367054758082361,0.0007852901904518497,0.00024858471464361365,5.6456068146856935e-05,0.38060383697052735,0.09919925527334013,1.46316783757286,0.0001379328543670351,0.00035923657492019216
f2,4,1397949,1184594,213355,434.0,44.0,0.00020622905486161562,0.00036637025006035825,0.00016014119519874262,3.571508145452265e-05,0.5746569663814366,0.15819573002345322,1.776521015946085,9.014092184296382e-05,0.0002301414685545214
f3,0,1438421,1244949,193472,20737.0,1961.0,0.010135833608997684,0.016656907230737966,0.006521073621740281,0.0002549801357623995,0.4967479520541423,0.02349882841559853,1.6433682589216398,0.0060213217388728445,0.007020825504607718
f3,1,12541171,10637706,1903465,15974.0,2102.0,0.0011043018915504095,0.0015016395452177376,0.00039733765366732816,2.684143880287954e-05,0.30734417836590505,0.02318878517373804,1.3598089043472315,0.00034472940032044834,0.000449945907014208
f6,0,1428267,1233216,195051,18558.0,1753.0,0.00898739304079446,0.01504845866417562,0.00606106562338116,0.0002401708018659738,0.5154527495185172,0.024867609871843274,1.6743964123822697,0.005590339501585747,0.0065317917451765736
f6,1,1478402,1259927,218475,4882.0,547.0,0.002503718960979517,0.0038748276685871483,0.0013711087076076311,0.00012039438565904787,0.4367239782853293,0.04502906583274188,1.5476288389297572,0.0011351400477750716,0.0016070773674401906
f6,2,1603065,1362990,240075,2877.0,321.0,0.0013370821618244298,0.0021108005194462173,0.0007737183576217875,8.430524287254541e-05,0.4565775200331033,0.058804336920074494,1.5786617903615285,0.0006084831178836965,0.0009389535973598785
