feature,n_bins,stratifiable,q_statistic,df,p_value,i_squared,min_effect,max_effect,effect_ratio_max_over_min
f0,8,True,837.7804896449874,7.0,1.3018052740297862e-176,0.9916445893804876,5.835776126192528e-05,0.00410504861363824,70.3428048792633
f1,1,False,,,,,,,
f2,5,True,538.3563359167307,4.0,3.3810941111874206e-115,0.9925699769220907,0.00016014119519874262,0.002536074759898709,15.836492020378161
f3,2,True,570.4716291431965,1.0,4.4332757363428216e-126,0.9982470644482322,0.00039733765366732816,0.006521073621740281,16.411919589176577
f4,1,False,,,,,,,
f5,1,False,,,,,,,
f6,7,True,690.4938671982419,6.0,6.90092555814512e-146,0.9913105672837534,0.00014499980009698594,0.00606106562338116,41.80051020295958
f7,1,False,,,,,,,
f8,5,True,779.9960546906108,4.0,1.6526593198778495e-167,0.9948717689327459,4.6672287505650434e-05,0.00789517941882385,169.16204113346728
f9,3,True,663.4015286643565,2.0,8.794039407758592e-145,0.9969852345622015,0.00016861805743078543,0.00817044200074251,48.455320416061156
f10,1,False,,,,,,,
f11,1,False,,,,,,,
