,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
f0,1.0,0.2766277442145665,0.21541730259366654,0.44644664880062307,0.28153396751493176,0.3140639583758954,1.0,0.3140639583758954,0.21541730259366654,0.26665256038945917,0.28153396751493176,0.27071784355366024
f1,0.2766277442145665,1.0,0.5306569032915982,0.830043180087087,0.949959841460323,0.9592625450013134,0.2766277442145665,0.9592625450013134,0.5306569032915982,0.8009218723979927,0.949959841460323,0.9764379389613087
f2,0.21541730259366654,0.5306569032915982,1.0,0.5580194328990431,0.565848130617832,0.5403601192366702,0.21541730259366654,0.5403601192366702,1.0,0.7274665812850618,0.565848130617832,0.5369123075981045
f3,0.44644664880062307,0.830043180087087,0.5580194328990431,1.0,0.8131955496269133,0.8224946765256096,0.44644664880062307,0.8224946765256096,0.5580194328990431,0.7553168933685618,0.8131955496269133,0.8205676531904508
f4,0.28153396751493176,0.949959841460323,0.565848130617832,0.8131955496269133,1.0,0.9197351396235313,0.28153396751493176,0.9197351396235313,0.565848130617832,0.8128902474406978,1.0,0.9710641769802724
f5,0.3140639583758954,0.9592625450013134,0.5403601192366702,0.8224946765256096,0.9197351396235313,1.0,0.3140639583758954,1.0,0.5403601192366702,0.7830139820961871,0.9197351396235313,0.9384227379454279
f6,1.0,0.2766277442145665,0.21541730259366654,0.44644664880062307,0.28153396751493176,0.3140639583758954,1.0,0.3140639583758954,0.21541730259366654,0.26665256038945917,0.28153396751493176,0.27071784355366024
f7,0.3140639583758954,0.9592625450013134,0.5403601192366702,0.8224946765256096,0.9197351396235313,1.0,0.3140639583758954,1.0,0.5403601192366702,0.7830139820961871,0.9197351396235313,0.9384227379454279
f8,0.21541730259366654,0.5306569032915982,1.0,0.5580194328990431,0.565848130617832,0.5403601192366702,0.21541730259366654,0.5403601192366702,1.0,0.7274665812850618,0.565848130617832,0.5369123075981045
f9,0.26665256038945917,0.8009218723979927,0.7274665812850618,0.7553168933685618,0.8128902474406978,0.7830139820961871,0.26665256038945917,0.7830139820961871,0.7274665812850618,1.0,0.8128902474406978,0.8094457263130426
f10,0.28153396751493176,0.949959841460323,0.565848130617832,0.8131955496269133,1.0,0.9197351396235313,0.28153396751493176,0.9197351396235313,0.565848130617832,0.8128902474406978,1.0,0.9710641769802724
f11,0.27071784355366024,0.9764379389613087,0.5369123075981045,0.8205676531904508,0.9710641769802724,0.9384227379454279,0.27071784355366024,0.9384227379454279,0.5369123075981045,0.8094457263130426,0.9710641769802724,1.0
