pattern,pattern_key,n_rows,share
O.....O.....,4030,6095535,0.43603096571058725
..O.....O...,3835,2193352,0.1568967105763888
..O.....OO..,3323,1295853,0.0926960529320169
O..O..O.....,4022,962465,0.06884786050980601
O.O...O.O...,3770,860300,0.06153970731048517
O.OO..O.OO..,3250,605518,0.04331442577151036
O.OO..O.O...,3762,393099,0.0281194901825461
O.O...O.OO..,3258,338265,0.024197058111567204
O....OOO....,3870,168096,0.012024385261029077
O.O..OOOO...,3610,89864,0.006428227662152086
OOOO.OOOOO..,3088,86980,0.00622192693463443
O.OOO.O.OOOO,162,76994,0.005507599935677665
O.OO.OOOOO..,3090,75677,0.005413391177653826
O.OO.OOOO...,3602,75372,0.005391573659660453
O.OOO.O.OOO.,2210,68111,0.004872173665726439
