model,budget_fraction,gross_value_per_customer,ci_low,ci_high,reference_value,policy_value_delta_vs_response,fold_seed,stage
Response,0.01,0.0003797483240618,0.0001908742519837,0.0005677669843641,0.0003797483240618,0.0,101,screen
Response,0.02,0.0005294724107763,0.0003209640462461,0.0007310796197183,0.0005294724107763,0.0,101,screen
Response,0.05,0.000714441006058,0.0004779689111643,0.0009450240894085,0.000714441006058,0.0,101,screen
Response,0.1,0.0008474436787712,0.000627838467762,0.0010956490832087,0.0008474436787712,0.0,101,screen
Response,0.15,0.0009107519183928,0.0006844553215241,0.0011306522622177,0.0009107519183928,0.0,101,screen
Response,0.2,0.0009508865310667,0.0007215843474633,0.0011855457288983,0.0009508865310667,0.0,101,screen
Response,0.25,0.000955662821259,0.0007277988038093,0.0012068492714002,0.000955662821259,0.0,101,screen
Response,0.3,0.000966518305829,0.0007252990803887,0.001232760913924,0.000966518305829,0.0,101,screen
Response-Sentinel,0.01,0.0003619267366619,0.0001677603279269,0.0005570362818051,0.0003797483240618,-1.7821587399899992e-05,101,screen
Response-Sentinel,0.02,0.0005201597884806,0.0002964415824389,0.0007299618443275,0.0005294724107763,-9.312622295700032e-06,101,screen
Response-Sentinel,0.05,0.0007408145212681,0.0005221969427997,0.0009693607301447,0.000714441006058,2.637351521009995e-05,101,screen
Response-Sentinel,0.1,0.0008323294215259,0.000609057971916,0.0010798221659398,0.0008474436787712,-1.5114257245299923e-05,101,screen
Response-Sentinel,0.15,0.0009313212611809,0.0007171872235209,0.0011652360973035,0.0009107519183928,2.05693427881e-05,101,screen
Response-Sentinel,0.2,0.0009457376830621,0.0007180668194135,0.0011851991205521,0.0009508865310667,-5.148848004599984e-06,101,screen
Response-Sentinel,0.25,0.0009457280132208,0.0007165445156889,0.0012024092854545,0.000955662821259,-9.934808038200007e-06,101,screen
Response-Sentinel,0.3,0.0009783950192072,0.0007395516424541,0.0012448409213873,0.000966518305829,1.1876713378200011e-05,101,screen
Anchored-R25,0.01,0.0004091327727467,0.0002290063695867,0.0005735192016932,0.0003797483240618,2.9384448684900027e-05,101,screen
Anchored-R25,0.02,0.000566880489143,0.000342877591255,0.0007446316617246,0.0005294724107763,3.7408078366700016e-05,101,screen
Anchored-R25,0.05,0.0007333286961009,0.0005065739915158,0.0009607977157842,0.000714441006058,1.8887690042899974e-05,101,screen
Anchored-R25,0.1,0.0008253949911732,0.0005835999248151,0.0010530405355739,0.0008474436787712,-2.204868759800001e-05,101,screen
Anchored-R25,0.15,0.0008482536043351,0.0006097882979567,0.0010964615731462,0.0009107519183928,-6.249831405770001e-05,101,screen
Anchored-R25,0.2,0.0008669776347885,0.0006313627304301,0.001120852354638,0.0009508865310667,-8.390889627820004e-05,101,screen
Anchored-R25,0.25,0.0008808777474114,0.0006585950491949,0.0011304006918596,0.000955662821259,-7.478507384759997e-05,101,screen
Anchored-R25,0.3,0.0008880495560279,0.0006553053067901,0.0011422399733025,0.000966518305829,-7.846874980110006e-05,101,screen
Anchored-R25-Sentinel,0.01,0.0003955083412165,0.0002178203677118,0.0005595567934581,0.0003797483240618,1.576001715470005e-05,101,screen
Anchored-R25-Sentinel,0.02,0.000577373463868,0.0003568897351204,0.0007666612315582,0.0005294724107763,4.7901053091699915e-05,101,screen
Anchored-R25-Sentinel,0.05,0.000733436136384,0.0004989211784558,0.0009569830413602,0.000714441006058,1.899513032599994e-05,101,screen
Anchored-R25-Sentinel,0.1,0.000793948745743,0.00055058379489,0.0010285787416038,0.0008474436787712,-5.3494933028200016e-05,101,screen
Anchored-R25-Sentinel,0.15,0.0008562065264743,0.0006084237694266,0.0011185515310903,0.0009107519183928,-5.454539191849996e-05,101,screen
Anchored-R25-Sentinel,0.2,0.0008743926554895,0.0006452512917001,0.0011331487099815,0.0009508865310667,-7.64938755772e-05,101,screen
Anchored-R25-Sentinel,0.25,0.0009121049486914,0.0006666704768197,0.001171746497044,0.000955662821259,-4.355787256759994e-05,101,screen
Anchored-R25-Sentinel,0.3,0.0009291951279712,0.0006925877127777,0.0011675672404265,0.000966518305829,-3.7323177857800016e-05,101,screen
Anchored-Pattern-R,0.01,0.0004206033621981,0.0002552346567984,0.0005937664371601,0.0003797483240618,4.0855038136300014e-05,101,screen
Anchored-Pattern-R,0.02,0.0005647965869545,0.0003429167789551,0.0007661632465152,0.0005294724107763,3.532417617819995e-05,101,screen
Anchored-Pattern-R,0.05,0.000747789504668,0.0005177480751045,0.0009686590150746,0.000714441006058,3.334849860999996e-05,101,screen
Anchored-Pattern-R,0.1,0.0008742177746719,0.0006302120784126,0.0011055347175526,0.0008474436787712,2.6774095900700058e-05,101,screen
Anchored-Pattern-R,0.15,0.0008799552831419,0.0006373973338717,0.0011248317533161,0.0009107519183928,-3.079663525089999e-05,101,screen
Anchored-Pattern-R,0.2,0.0008661133973314,0.0006340933422695,0.0010861760058564,0.0009508865310667,-8.477313373529997e-05,101,screen
