model,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,is_cate_scale,fold_seed,pool_fraction,n_rows
Response,0.0008567794266366068,0.0007647953322828539,0.003093126190197099,0.0027617924811838557,0.00044297930184130377,0.18298113702358187,0.005920199142493146,False,101,0.15,838776
Response-Sentinel,0.0008588313906207395,0.0007670898402368011,0.0031179992617636596,0.002788814914422906,0.0004439156710394613,0.18336601112287682,0.005932706073215264,False,101,0.15,838776
Anchored-R25,0.0008137684744583707,0.0007133503220171879,0.0029250949523816367,0.0025269550266135217,0.0003753185586008301,0.15327617265107463,0.004962075956782375,True,101,0.15,838776
Anchored-R25-Sentinel,0.00082043095395642,0.0007204417700245716,0.0029759565535090343,0.0025817984864027837,0.0004021940593846907,0.16466458545819454,0.005333283039815164,True,101,0.15,838776
Anchored-Pattern-R,0.0008419791794837473,0.0007502130364444383,0.0030634556021502876,0.0027135252273850423,0.0004301141982689139,0.17834845682198253,0.005768385888623989,True,101,0.15,838776
DINA-CATE-Sentinel,0.0008675779438358608,0.000766488058177252,0.003161567894667409,0.0027719150491603882,0.0004213022288648804,0.17711529514467625,0.005734170800196674,True,101,0.15,838776
Ensemble-QAgg,0.0008117175884310914,0.0007038016196417555,0.002808827551876166,0.0023718247050284595,0.00039304255842687237,0.15733005779587522,0.005094850183080074,True,101,0.15,838776
Ensemble-BestSingle,0.0008208880885493126,0.0007225466531565342,0.0029500312687792954,0.002568230667200921,0.00040386324318197626,0.16579411727274743,0.0053708307692317365,True,101,0.15,838776
Ensemble-RankAverage,0.0008368488938085271,0.0007360235174312849,0.003205276516061137,0.0028013793522970497,0.00043127530217262954,0.18049469858070327,0.005842527940904997,False,101,0.15,838776
Response,0.0008521660265628728,0.0007468078988576534,0.0030792190032110965,0.0027466841070500733,0.00043978143879235703,0.1842742836642254,0.005960924417225908,False,202,0.15,838776
Response-Sentinel,0.0008552008834180041,0.0007508216868415959,0.003087762765376607,0.0027469543955809307,0.0004407153709260979,0.1849486617912491,0.005982727833799727,False,202,0.15,838776
Anchored-R25,0.0008440645717465086,0.0007295436433267983,0.003039726469363633,0.0026664567464008563,0.00041589129965273063,0.17050569774283475,0.005517589028311701,True,202,0.15,838776
Anchored-R25-Sentinel,0.0008408357754300139,0.0007254245988259179,0.0030277788145275223,0.0026514432144837674,0.0004038225389804862,0.1658370401338159,0.005366258104308669,True,202,0.15,838776
Anchored-Pattern-R,0.000861152008740501,0.0007559084941336855,0.0031534075121195876,0.0028139511392904263,0.0004401317307315806,0.18496048737710935,0.005983973244776049,True,202,0.15,838776
DINA-CATE-Sentinel,0.0008318314968986284,0.0007181847601739939,0.003185740219608377,0.0027854054184645828,0.00041624734957473923,0.171624989975204,0.005552012156887116,True,202,0.15,838776
Ensemble-QAgg,0.0008331692838947318,0.0007171139297609657,0.002881994901201949,0.002476288540007271,0.0004190035139068501,0.17563331550335126,0.005682529327803305,True,202,0.15,838776
Ensemble-BestSingle,0.0007871797315302315,0.0006761850740487494,0.002674986782493184,0.0022843854228533672,0.0003733255420670197,0.16160837587459265,0.00522897725606718,True,202,0.15,838776
Ensemble-RankAverage,0.000850249244028561,0.0007342445523230375,0.0032114206281877423,0.0028192308921823105,0.00043435769905565723,0.18267836170310364,0.005910022732082896,False,202,0.15,838776
