model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.00041151256860673825,0.0004218184948692344,0.00044723023803202666
Response,0.02,0.0005646498020459173,0.0005824446327631146,0.0006095577235784843
Response,0.05,0.0007486819572751924,0.000739769272009323,0.0008137832170344804
Response,0.1,0.0008406239083898385,0.0008432724401800638,0.0009259762147255765
Response,0.15,0.0008895411004891143,0.0008871399718767355,0.0009805080266931507
Response,0.2,0.0009260243456241504,0.0009262847839900572,0.0010025769111199445
Response,0.25,0.0009422565673399223,0.0009369146972751113,0.0010166940818309219
Response,0.3,0.0009521834713477666,0.0009527467764233894,0.0010285759120204322
Expected random (stochastic policy),0.01,9.788353726894597e-06,,
Expected random (stochastic policy),0.02,1.9576707453789195e-05,,
Expected random (stochastic policy),0.05,4.894176863447299e-05,,
Expected random (stochastic policy),0.1,9.788353726894598e-05,,
Expected random (stochastic policy),0.15,0.00014682530590341895,,
Expected random (stochastic policy),0.2,0.00019576707453789196,,
Expected random (stochastic policy),0.25,0.00024470884317236494,,
Expected random (stochastic policy),0.3,0.0002936506118068379,,
