model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response-Sentinel,0.01,0.00044056404575269976,0.00043591172128717277,0.0004821965061142181
Response-Sentinel,0.02,0.0006141441494609167,0.0006231977793048212,0.0006665617060762827
Response-Sentinel,0.05,0.0007487821800639485,0.0007413385351457025,0.000826340219110247
Response-Sentinel,0.1,0.0008510679542750526,0.0008488732041374354,0.0009374232743474678
Response-Sentinel,0.15,0.0009051865513132872,0.00089809895710107,0.0009995399129661253
Response-Sentinel,0.2,0.0009435564268877789,0.000935674875033641,0.0010342108566640776
Response-Sentinel,0.25,0.0009615957354518416,0.0009559276168168933,0.0010495855301497334
Response-Sentinel,0.3,0.0009723972587785129,0.0009690292117343057,0.001062378103031324
Expected random (stochastic policy),0.01,9.96917928738e-06,,
Expected random (stochastic policy),0.02,1.993835857476e-05,,
Expected random (stochastic policy),0.05,4.9845896436900007e-05,,
Expected random (stochastic policy),0.1,9.969179287380001e-05,,
Expected random (stochastic policy),0.15,0.0001495376893107,,
Expected random (stochastic policy),0.2,0.00019938358574760003,,
Expected random (stochastic policy),0.25,0.0002492294821845,,
Expected random (stochastic policy),0.3,0.0002990753786214,,
