model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.0003718710522526767,0.00020972562527717725,0.0005708989938632231
Response,0.02,0.0005415272519670367,0.0003308521262692574,0.0007440615244205603
Response,0.05,0.0007441625488533388,0.00053803739178527,0.0009409230582799541
Response,0.1,0.000839991226992241,0.000625985136424875,0.0010774031294896998
Response,0.15,0.0008925350608858807,0.0006630560161344111,0.001131447219654732
Response,0.2,0.0009184905134323077,0.0006776883687942896,0.001142090513965207
Response,0.25,0.0009625755286261716,0.0007185735750617765,0.0011845187208353804
Response,0.3,0.0009596851438702891,0.0007216486174127854,0.0011872913811812645
Response-Sentinel,0.01,0.0003432711056895724,0.00019252397957256288,0.0005326498587014618
Response-Sentinel,0.02,0.0005627439222415799,0.0003767993745055948,0.0007726766472406459
Response-Sentinel,0.05,0.0007278952832383153,0.0005075786232462987,0.0009293089116552605
Response-Sentinel,0.1,0.0008563527485982417,0.0006327562239588101,0.0010934077412742497
Response-Sentinel,0.15,0.0008876691078202603,0.0006661579552500353,0.0011171606892371008
Response-Sentinel,0.2,0.0009258741767004286,0.000692005148543306,0.0011530845304034943
Response-Sentinel,0.25,0.0009628528986296377,0.0007230956285770883,0.0011866240460451584
Response-Sentinel,0.3,0.0009713505557122941,0.0007263057790139251,0.001189521688890134
Anchored-R25,0.01,0.00037383537401033197,0.00022004502490258004,0.0005838566546638412
Anchored-R25,0.02,0.0005776902698715965,0.0003867279754877787,0.0007793578537390319
Anchored-R25,0.05,0.0006996888806056687,0.000458073144060741,0.0009104691276448304
Anchored-R25,0.1,0.0008603130442046336,0.0006254275117587134,0.0010698736910492058
Anchored-R25,0.15,0.0009106145324322995,0.0006922546230456301,0.001147993246538919
Anchored-R25,0.2,0.0009086551432857043,0.0006799306450437564,0.0011535295208942255
Anchored-R25,0.25,0.0009222111469896153,0.000702528219690475,0.0011604355447627321
Anchored-R25,0.3,0.0009311397890589147,0.0006997877914115504,0.001164425166341335
Anchored-R25-Sentinel,0.01,0.00039561729783437795,0.0002455417860921435,0.0006044015438062471
Anchored-R25-Sentinel,0.02,0.0006231846424406841,0.00044308053900550754,0.0008209788138453468
Anchored-R25-Sentinel,0.05,0.0007215484792710511,0.00048726885807455917,0.0009275340362716561
Anchored-R25-Sentinel,0.1,0.0008291756498946888,0.0006153652132374238,0.001046323450757866
Anchored-R25-Sentinel,0.15,0.0008940167134412477,0.0006581099760973688,0.0011325022718393558
Anchored-R25-Sentinel,0.2,0.0009025151351261571,0.0006658065122357527,0.0011227749331317457
Anchored-R25-Sentinel,0.25,0.0009223735887309065,0.0006932119382212003,0.0011422443712909292
Anchored-R25-Sentinel,0.3,0.000925384078750564,0.0006978814658451379,0.001154726572644767
Anchored-Pattern-R,0.01,0.00041514306046799284,0.0002552132045737594,0.0006237867621012059
Anchored-Pattern-R,0.02,0.0005776782289968426,0.00036621253869038075,0.0008132528668084548
Anchored-Pattern-R,0.05,0.000778632614909248,0.0005480924512895834,0.0009971944311596057
Anchored-Pattern-R,0.1,0.0008923613898928099,0.0006608119903293687,0.0011201634072950284
Anchored-Pattern-R,0.15,0.0008939797379930579,0.0006655995513113595,0.0011136098260273234
Anchored-Pattern-R,0.2,0.0009166142535255541,0.0006642167557812613,0.001145196855482809
Anchored-Pattern-R,0.25,0.0009214030427766324,0.0006820794350066797,0.0011389134265299252
Anchored-Pattern-R,0.3,0.0009496630618754879,0.0007198263397376415,0.0011701737999833901
DINA-CATE-Sentinel,0.01,0.00041160874787083985,0.0002631049452627679,0.00059720017222223
DINA-CATE-Sentinel,0.02,0.0005967062536916339,0.0004507491874155454,0.0007760425310154266
DINA-CATE-Sentinel,0.05,0.0006894043428798268,0.00048109164711124887,0.0008734592487870239
DINA-CATE-Sentinel,0.1,0.0008165644789918554,0.0005847871988331556,0.001031669677376533
DINA-CATE-Sentinel,0.15,0.0008765052392716566,0.0006450428575965664,0.0010849658188283352
DINA-CATE-Sentinel,0.2,0.0008985403607641237,0.0006900736046645094,0.001100026618847414
DINA-CATE-Sentinel,0.25,0.0009324472370616285,0.0007258858961299668,0.0011435363530335498
DINA-CATE-Sentinel,0.3,0.0009383970020576609,0.0007124468871177749,0.0011437241862183264
Expected random (stochastic policy),0.01,9.733992205211802e-06,,
Expected random (stochastic policy),0.02,1.9467984410423604e-05,,
Expected random (stochastic policy),0.05,4.8669961026059016e-05,,
Expected random (stochastic policy),0.1,9.733992205211803e-05,,
Expected random (stochastic policy),0.15,0.00014600988307817702,,
Expected random (stochastic policy),0.2,0.00019467984410423606,,
Expected random (stochastic policy),0.25,0.00024334980513029505,,
Expected random (stochastic policy),0.3,0.00029201976615635404,,
