model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.0008450216968196685,0.00023187986977822725,0.0013542419665907586
Response,0.02,0.0010547155025283836,0.0004982306213786127,0.0015895606632285824
Response,0.05,0.0012203598867748303,0.000659599007684053,0.0018340547992171598
Response,0.1,0.0010768620365022362,0.0004431272114687306,0.0018169855286389893
Response,0.15,0.0009501521219022315,0.00034070219824294736,0.0018646642430820647
Response,0.2,0.0010603394861076051,0.0005268891553729897,0.0019049598180458799
Response,0.25,0.0011377273932938238,0.0004599061155738616,0.0019459183550396286
Response,0.3,0.001017484754693982,0.0004243478782337938,0.0018989834746693493
Response-Sentinel,0.01,0.0009785604525357717,0.0005594755684163919,0.0014344249270894056
Response-Sentinel,0.02,0.0011029301461506105,0.0005635853736415804,0.001616519486756912
Response-Sentinel,0.05,0.0012189927414709356,0.0005803987082201145,0.0018554745160925521
Response-Sentinel,0.1,0.0010448331625188786,0.0005526866160988985,0.0019135028151247813
Response-Sentinel,0.15,0.0009434400072360652,0.00032302548491374263,0.0018660682447900255
Response-Sentinel,0.2,0.0010531619295587383,0.0004941977150103021,0.00192747509306519
Response-Sentinel,0.25,0.0011221243578987466,0.0005773563369075075,0.0019616005913103483
Response-Sentinel,0.3,0.0010178766764907072,0.0004253735051905373,0.0018968160987869473
Anchored-R25,0.01,0.000940582564004023,0.0005187257706935044,0.001461593936771624
Anchored-R25,0.02,0.00114834133812726,0.0006439541737156475,0.0016887291285639133
Anchored-R25,0.05,0.001145506904078349,0.000570229740331108,0.0017792076206943602
Anchored-R25,0.1,0.0010790176951319306,0.0004125743541470645,0.0017718578130046768
Anchored-R25,0.15,0.001192811658134719,0.0004976664250179799,0.001929698368624993
Anchored-R25,0.2,0.0010098526926764749,0.00034137994690364994,0.0017796061445758606
Anchored-R25,0.25,0.0010416938097917096,0.0003396975816530612,0.001776958946487523
Anchored-R25,0.3,0.001077268958229545,0.0003820069840529675,0.0018418433903595478
Anchored-R25-Sentinel,0.01,0.0009405704894207176,0.0005188403370734768,0.0014349836694202399
Anchored-R25-Sentinel,0.02,0.0011497231908106492,0.0006451932475993981,0.0016909769730255495
Anchored-R25-Sentinel,0.05,0.0011821070851869083,0.000569453990525803,0.0017808606541856965
Anchored-R25-Sentinel,0.1,0.0011041318366936486,0.0004102983632492049,0.0018105576933978296
Anchored-R25-Sentinel,0.15,0.0012005201687743708,0.00050244440824882,0.0019391041830883553
Anchored-R25-Sentinel,0.2,0.0011162580860470202,0.00039747563647340057,0.0018135153333113474
Anchored-R25-Sentinel,0.25,0.0010589859380415545,0.000356347065901181,0.001820764820863859
Anchored-R25-Sentinel,0.3,0.0010868599018700183,0.00037603941557112633,0.0018608903970594483
Anchored-Pattern-R,0.01,0.0009686082982538825,0.0005574701602814859,0.0014616923170553502
Anchored-Pattern-R,0.02,0.0011816664543117077,0.0006581954702592816,0.0016862308886973299
Anchored-Pattern-R,0.05,0.0010546362721972032,0.00041066830896766086,0.0016650270604030135
Anchored-Pattern-R,0.1,0.001010842616814763,0.00037913855642530357,0.0017997645227377848
Anchored-Pattern-R,0.15,0.001057480355188627,0.0004956034776517531,0.0018985129523678569
Anchored-Pattern-R,0.2,0.0010770150666255618,0.0005498029034725202,0.0019223674815885413
Anchored-Pattern-R,0.25,0.0011874084632052466,0.0006066432411642651,0.0020489279170842574
Anchored-Pattern-R,0.3,0.0011133060371720377,0.00048122775295172504,0.0020816911150750386
DINA-CATE-Sentinel,0.01,0.0002960606181685086,-7.913979395456574e-05,0.0007909548759080122
DINA-CATE-Sentinel,0.02,0.0006562087485935379,0.00010204789365498199,0.0011692609106108984
DINA-CATE-Sentinel,0.05,0.0010460615845635072,0.0004815044049805392,0.0015904658382004792
DINA-CATE-Sentinel,0.1,0.0012410890248315094,0.000641733545877476,0.0018936956298318693
DINA-CATE-Sentinel,0.15,0.0013500670419164542,0.0008438199558790146,0.001983310414994004
DINA-CATE-Sentinel,0.2,0.001411418953071308,0.0009147001731876101,0.0020437450514349605
DINA-CATE-Sentinel,0.25,0.0012941711092176718,0.0006309149299877413,0.002006486345158685
DINA-CATE-Sentinel,0.3,0.0011951651870270577,0.000484688766953549,0.0018918654378948718
Expected random (stochastic policy),0.01,9.559677559070625e-06,,
Expected random (stochastic policy),0.02,1.911935511814125e-05,,
Expected random (stochastic policy),0.05,4.779838779535313e-05,,
Expected random (stochastic policy),0.1,9.559677559070625e-05,,
Expected random (stochastic policy),0.15,0.00014339516338605937,,
Expected random (stochastic policy),0.2,0.0001911935511814125,,
Expected random (stochastic policy),0.25,0.00023899193897676562,,
Expected random (stochastic policy),0.3,0.00028679032677211873,,
