model,policy_area_dr_mean,policy_area_dr_min,autoc_dr_mean,qini_mean,n_seeds
Response-Sentinel,0.0008570161370193718,0.0008552008834180041,0.0031028810135701333,0.18415733645706295,2
Response,0.0008544727265997398,0.0008521660265628728,0.0030861725967040975,0.18362771034390363,2
X-Renormalized,0.0008317502384790159,0.0008161235698645633,0.003039078610704523,0.17156917730161442,2
Ensemble-RankAverage,0.0008222665727650857,0.0007922293786931763,0.0030000751559575625,0.17661732821861706,2
Ensemble-QAgg,0.0008206812256157674,0.0007854061793773588,0.0029402933247039366,0.16401104575496397,2
Funnel-S-Sentinel,0.0008080249519781811,0.0007891457232630803,0.0030220067592762845,0.16753683287191995,2
Funnel-S,0.00080376702626386,0.0007817361843451683,0.0030445002889868235,0.163985175336327,2
S-Under7,0.0008023546863513137,0.0007785750822199093,0.002723677963746894,0.17050893788386756,2
Ensemble-BestSingle,0.000795681309100631,0.0007621032341404006,0.002718741764717919,0.16822163186192027,2
S-Sentinel-Under7,0.0007871073907040778,0.0007594241494774579,0.0026912586665236507,0.16131104882969816,2
