model,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,is_cate_scale,fold_seed,pool_fraction,n_rows
Response,0.0008567794266366068,0.0007647953322828539,0.003093126190197099,0.0027617924811838557,0.00044297930184130377,0.18298113702358187,0.005920199142493146,False,101,0.15,838776
Response-Sentinel,0.0008588313906207395,0.0007670898402368011,0.0031179992617636596,0.002788814914422906,0.0004439156710394613,0.18336601112287682,0.005932706073215264,False,101,0.15,838776
S-Under7,0.0008261342904827181,0.000725492697761112,0.002908759183906262,0.0025300422769886895,0.0004167983882891648,0.18144161951318613,0.00587041644174876,True,101,0.15,838776
S-Sentinel-Under7,0.0008147906319306978,0.0007264062421972251,0.0028171152323908655,0.0025017720331336766,0.00039341531157333965,0.1737704754404299,0.005624267163644438,True,101,0.15,838776
X-Renormalized,0.0008473769070934683,0.0007579640399538338,0.003237841356401996,0.0029051075819424765,0.00042942171273697467,0.17372811723330545,0.005613434440686431,True,101,0.15,838776
Funnel-S,0.0008257978681825516,0.0007204905390733106,0.0032152672496597464,0.002814080900888182,0.0003882256142240076,0.16632276126915488,0.005377644904674995,True,101,0.15,838776
Funnel-S-Sentinel,0.000826904180693282,0.0007349147586367068,0.0031858163940495197,0.0028366257023052428,0.0003964371883196922,0.17380633474399543,0.005621120160471941,True,101,0.15,838776
Ensemble-QAgg,0.0008559562718541759,0.000756972673133455,0.003190820472119304,0.0028342208950362306,0.00041505731631618996,0.17689562536686235,0.0057209285966156286,True,101,0.15,838776
Ensemble-BestSingle,0.0008292593840608613,0.0007423713508652788,0.002872707421249737,0.0025900962178035075,0.0004122741929018247,0.1797212473759771,0.005814397725433689,True,101,0.15,838776
Ensemble-RankAverage,0.0008523037668369951,0.0007532805251091862,0.003199025729821817,0.002877230418420613,0.00041919819041603425,0.17849647465137197,0.005770398924954879,False,101,0.15,838776
Response,0.0008521660265628728,0.0007468078988576534,0.0030792190032110965,0.0027466841070500733,0.00043978143879235703,0.1842742836642254,0.005960924417225908,False,202,0.15,838776
Response-Sentinel,0.0008552008834180041,0.0007508216868415959,0.003087762765376607,0.0027469543955809307,0.0004407153709260979,0.1849486617912491,0.005982727833799727,False,202,0.15,838776
S-Under7,0.0007785750822199093,0.0006745780091665798,0.0025385967435875255,0.002115272832997923,0.00037673670659627343,0.159576256254549,0.005163953710992501,True,202,0.15,838776
S-Sentinel-Under7,0.0007594241494774579,0.0006532060024806403,0.0025654021006564355,0.0021356257329220325,0.00036321162370729924,0.1488516222189664,0.004814991125553311,True,202,0.15,838776
X-Renormalized,0.0008161235698645633,0.0007278350874231032,0.0028403158650070503,0.0025433984165182284,0.0004061852537474768,0.16941023736992336,0.0054787514394813545,True,202,0.15,838776
Funnel-S,0.0007817361843451683,0.0006706972312835371,0.0028737333283139006,0.0024298983182119128,0.0003827452540441188,0.1616475894034991,0.00522700774958604,True,202,0.15,838776
Funnel-S-Sentinel,0.0007891457232630803,0.000679558755089147,0.002858197124503049,0.002411500939045918,0.00037229103703423144,0.16126733099984444,0.005211703767998447,True,202,0.15,838776
Ensemble-QAgg,0.0007854061793773588,0.0006710325359765113,0.0026897661772885685,0.0022305825796911914,0.00036281873762167283,0.1511264661430656,0.004884333008849429,True,202,0.15,838776
Ensemble-BestSingle,0.0007621032341404006,0.0006506197223929407,0.002564776108186101,0.0021231966928477383,0.00038766144605659604,0.15672201634786342,0.005070375428201391,True,202,0.15,838776
Ensemble-RankAverage,0.0007922293786931763,0.0006850277246412976,0.002801124582093308,0.002392256687796409,0.00041242631165406326,0.17473818178586215,0.005652736261954849,False,202,0.15,838776
