model_a,model_b,fold_seed,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,n_boot
Response-Sentinel,Response,101,2.0519639841327366e-06,-8.105830562446755e-06,1.2925148742319906e-05,0.7,2.4873071566560746e-05,-2.6179785899608078e-05,8.135394543015755e-05,100
S-Under7,Response,101,-3.064513615388866e-05,-0.0001081706481709019,3.6016969912273084e-05,0.18,-0.00018436700629083673,-0.000884467459326701,0.00034273167664964315,100
S-Sentinel-Under7,Response,101,-4.198879470590901e-05,-0.00011552281325372467,1.5009713090598307e-05,0.07,-0.00027601095780623334,-0.0010573760711594113,0.00021659621039338522,100
X-Renormalized,Response,101,-9.40251954313848e-06,-5.386977767995258e-05,5.2116245851051926e-05,0.29,0.0001447151662048972,-0.00018099050947927156,0.0004920795853385458,100
Funnel-S,Response,101,-3.0981558454055156e-05,-8.268953378935317e-05,3.454017318652012e-05,0.24,0.00012214105946264757,-0.00023421452157627143,0.0006040586729702073,100
Funnel-S-Sentinel,Response,101,-2.9875245943324796e-05,-8.813705117190547e-05,5.5806323311360974e-05,0.19,9.269020385242093e-05,-0.0002649231518656121,0.000540580635872302,100
Ensemble-QAgg,Response,101,-8.231547824308523e-07,-6.189441551396083e-05,6.337244124765978e-05,0.5,9.769428192220537e-05,-0.00026169865704334957,0.0005239710184407232,100
Ensemble-BestSingle,Response,101,-2.752004257574551e-05,-0.00010564885843520717,3.204287826902021e-05,0.19,-0.00022041876894736195,-0.0006985102947438875,0.00027315648798732843,100
Ensemble-RankAverage,Response,101,-4.475659799611743e-06,-7.617692288022111e-05,7.337784194943282e-05,0.45,0.00010589953962471818,-0.00044782500706542464,0.000588489543757525,100
Response,X-Renormalized,101,9.40251954313848e-06,-5.2116245851052075e-05,5.386977767995258e-05,0.71,-0.0001447151662048972,-0.0004920795853385458,0.00018099050947927128,100
Response-Sentinel,X-Renormalized,101,1.1454483527271217e-05,-4.553088830305725e-05,5.7695669034070205e-05,0.7,-0.00011984209463833644,-0.0004919810218388408,0.00020083754750884744,100
S-Under7,X-Renormalized,101,-2.1242616610750182e-05,-0.0001088195282835994,4.904565069498163e-05,0.32,-0.0003290821724957339,-0.0008992327901478352,0.0001319843625862029,100
S-Sentinel-Under7,X-Renormalized,101,-3.258627516277053e-05,-0.0001334220146276193,3.3476258460335724e-05,0.2,-0.00042072612401113053,-0.0010306967335664175,-6.415106672537054e-06,100
Funnel-S,X-Renormalized,101,-2.1579038910916675e-05,-9.068088563603579e-05,4.3545945462537454e-05,0.32,-2.257410674224962e-05,-0.00030820076429300704,0.0003523753152037074,100
Funnel-S-Sentinel,X-Renormalized,101,-2.0472726400186316e-05,-7.948030876010874e-05,4.459689197134768e-05,0.32,-5.202496235247626e-05,-0.0003669556783465828,0.00030399901830621744,100
Ensemble-QAgg,X-Renormalized,101,8.579364760707628e-06,-5.860532502831745e-05,7.095137944110475e-05,0.67,-4.7020884282691824e-05,-0.0003750751644786965,0.000299057617024826,100
Ensemble-BestSingle,X-Renormalized,101,-1.8117523032607028e-05,-9.610837698244032e-05,5.134842603517764e-05,0.35,-0.00036513393515225914,-0.0007513099766171365,5.453869836345191e-05,100
Ensemble-RankAverage,X-Renormalized,101,4.926859743526737e-06,-6.253999119651125e-05,6.0669224657440456e-05,0.66,-3.8815626580179004e-05,-0.00043817538851404874,0.00025673174579855264,100
