model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.0003797483240618932,0.00019087425198377873,0.0005677669843641094
Response,0.02,0.0005294724107763948,0.0003209640462461567,0.0007310796197183675
Response,0.05,0.0007144410060580355,0.0004779689111643941,0.0009450240894085484
Response,0.1,0.0008474436787712413,0.0006278384677620033,0.0010956490832087315
Response,0.15,0.0009107519183928698,0.0006844553215241913,0.0011306522622177005
Response,0.2,0.0009508865310667924,0.0007215843474633051,0.0011855457288983066
Response,0.25,0.0009556628212590948,0.0007277988038093302,0.0012068492714002513
Response,0.3,0.0009665183058290045,0.000725299080388741,0.0012327609139240032
Response-Sentinel,0.01,0.0003619267366619313,0.00016776032792692707,0.0005570362818051466
Response-Sentinel,0.02,0.0005201597884806571,0.00029644158243898755,0.0007299618443275351
Response-Sentinel,0.05,0.000740814521268109,0.000522196942799712,0.0009693607301447135
Response-Sentinel,0.1,0.0008323294215259814,0.0006090579719160023,0.0010798221659398118
Response-Sentinel,0.15,0.0009313212611809609,0.0007171872235209619,0.001165236097303522
Response-Sentinel,0.2,0.0009457376830621851,0.0007180668194135571,0.0011851991205521
Response-Sentinel,0.25,0.0009457280132208546,0.0007165445156889303,0.0012024092854545714
Response-Sentinel,0.3,0.000978395019207293,0.0007395516424541866,0.0012448409213873734
S-Under7,0.01,0.00032034664771714386,0.00020379798136084429,0.00044405919322378063
S-Under7,0.02,0.000517156015806249,0.0003571215987501606,0.000671008540117819
S-Under7,0.05,0.0006973149484767529,0.0005098257086252113,0.0008847323740449223
S-Under7,0.1,0.0008012048193266154,0.0006013203586364548,0.0010012315559762685
S-Under7,0.15,0.0008902821013794661,0.0007006909823857488,0.0010946776980505287
S-Under7,0.2,0.0009063173326630922,0.0006976406297998813,0.0011304869412139841
S-Under7,0.25,0.0009318301233340255,0.000737016520016131,0.0011488505250222532
S-Under7,0.3,0.0009303910202729281,0.0007049621807878577,0.0011537908297436722
S-Sentinel-Under7,0.01,0.00027833113510206315,0.00015044599457199144,0.00039279386033459876
S-Sentinel-Under7,0.02,0.0005088777908943519,0.00035786665802404273,0.0006660608255787148
S-Sentinel-Under7,0.05,0.0006830857990005635,0.0004752401565562164,0.0008862245069230763
S-Sentinel-Under7,0.1,0.0008167911158994132,0.0006081309980731357,0.0010347932513129921
S-Sentinel-Under7,0.15,0.000893043766194973,0.0006694903058180442,0.0011169666663290098
S-Sentinel-Under7,0.2,0.0008806890961108538,0.0006500624218066396,0.00112866114668376
S-Sentinel-Under7,0.25,0.0009044859317153728,0.0006824363964327049,0.0011413602539719512
S-Sentinel-Under7,0.3,0.0009058458270603862,0.0006726428617557093,0.00116602322638426
X-Renormalized,0.01,0.0003829758747834487,0.0002449905126977648,0.0005305589322713321
X-Renormalized,0.02,0.0005779720107874842,0.00042477484068984044,0.0007708356992215727
X-Renormalized,0.05,0.0007811406102900839,0.0005707153955785454,0.001002172262683246
X-Renormalized,0.1,0.0007997356551765683,0.0005677293063546885,0.001026803290913708
X-Renormalized,0.15,0.0008971156195433424,0.0006527542563813531,0.0011433008907812744
X-Renormalized,0.2,0.0009251879317821278,0.0006689235056956876,0.001163051718879135
X-Renormalized,0.25,0.000921575512174969,0.0006600761145160625,0.0011535652248425487
X-Renormalized,0.3,0.0009535449881002308,0.0007027694136646625,0.0011866459847233281
Funnel-S,0.01,0.0003407377516486494,0.00016890364690118874,0.0005089408219119812
Funnel-S,0.02,0.0005272884733821494,0.00033182595751898327,0.0006926935457146647
Funnel-S,0.05,0.000756541868078974,0.0005653824870867595,0.0009601471530142415
Funnel-S,0.1,0.0008347890137693713,0.0006414204088641879,0.0010806515290627929
Funnel-S,0.15,0.0008763573359761301,0.0006919867042732402,0.001091419558635285
Funnel-S,0.2,0.000878792347657529,0.0006903187164861998,0.0011056701589274268
Funnel-S,0.25,0.0008991355571961729,0.0006975866740144514,0.0011180135817861446
Funnel-S,0.3,0.0009006615279665449,0.0006693710391757744,0.0011230512849408013
Funnel-S-Sentinel,0.01,0.00042968174769287794,0.00026895776814753517,0.0005768873839248854
Funnel-S-Sentinel,0.02,0.0005242605238456045,0.00034357403356187325,0.0007038033571594189
Funnel-S-Sentinel,0.05,0.0006807152340009072,0.00047619804164004417,0.0009022245824647916
Funnel-S-Sentinel,0.1,0.0008478240096556893,0.0006494771052213894,0.0010868964202411188
Funnel-S-Sentinel,0.15,0.0008846810386458172,0.0006634273819053463,0.0011139977556464304
Funnel-S-Sentinel,0.2,0.0008840580315314423,0.0006514107353533145,0.0011173711171164732
Funnel-S-Sentinel,0.25,0.0009225302467239832,0.0006856401040656518,0.0011507796138601064
Funnel-S-Sentinel,0.3,0.0009194127745026239,0.0006704892695855576,0.0011465327066709976
Expected random (stochastic policy),0.01,9.888601421262715e-06,,
Expected random (stochastic policy),0.02,1.977720284252543e-05,,
Expected random (stochastic policy),0.05,4.944300710631358e-05,,
Expected random (stochastic policy),0.1,9.888601421262716e-05,,
Expected random (stochastic policy),0.15,0.00014832902131894072,,
Expected random (stochastic policy),0.2,0.00019777202842525431,,
Expected random (stochastic policy),0.25,0.0002472150355315679,,
Expected random (stochastic policy),0.3,0.00029665804263788144,,
