stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
screen,Response-Sentinel,Response,2.051963913602675e-06,-8.867571215635119e-06,1.3727215650498605e-05,0.64,2.4873072195675996e-05,-2.8713008639157546e-05,7.907320811339005e-05,0.8,200
screen,S-Under7,Response,-3.064513573317171e-05,-0.00010582102593612963,5.433163001550252e-05,0.2,-0.00018436701156530249,-0.0008707758381665625,0.0004316441060958065,0.285,200
screen,S-Sentinel-Under7,Response,-4.1988795077322846e-05,-0.00011409787642899266,3.715168546677765e-05,0.105,-0.00027601096624489934,-0.0009898410673411602,0.0003177757548494208,0.19,200
screen,X-Renormalized,Response,-9.40251917502528e-06,-5.936656341718088e-05,4.646490285255048e-05,0.33,0.00014471516017569618,-0.0001971474218852113,0.0005200211750984776,0.785,200
screen,Funnel-S,Response,-3.098155627660282e-05,-0.00011287884062741605,3.464621011656109e-05,0.23,0.00012214106553712356,-0.0002654669670943334,0.0005238112081190306,0.705,200
screen,Funnel-S-Sentinel,Response,-2.987524459503049e-05,-9.904397421090209e-05,2.8434299125210938e-05,0.185,9.269020690885581e-05,-0.0002942851367897078,0.00048592969079925386,0.65,200
screen,Response,X-Renormalized,9.40251917502528e-06,-4.646490285255046e-05,5.936656341718089e-05,0.67,-0.00014471516017569618,-0.0005200211750984776,0.00019714742188521136,0.215,200
screen,Response-Sentinel,X-Renormalized,1.1454483088627954e-05,-4.797181170171927e-05,6.0900031800642316e-05,0.69,-0.00011984208798002018,-0.0005018609745946295,0.00021606918319734612,0.265,200
screen,S-Under7,X-Renormalized,-2.1242616558146427e-05,-0.00010754077524990185,5.7503384368958904e-05,0.31,-0.00032908217174099866,-0.0008756136306295949,0.00016597271363700226,0.08,200
screen,S-Sentinel-Under7,X-Renormalized,-3.2586275902297566e-05,-0.00011924523643016233,4.635691581142894e-05,0.205,-0.0004207261264205955,-0.0009644496775717801,3.120583229280564e-05,0.035,200
screen,Funnel-S,X-Renormalized,-2.157903710157754e-05,-0.00010932765279182941,5.51416913292985e-05,0.295,-2.2574094638572618e-05,-0.0003975950308160216,0.0003406443318363973,0.445,200
screen,Funnel-S-Sentinel,X-Renormalized,-2.047272542000521e-05,-8.934355344347975e-05,4.5264085482832366e-05,0.26,-5.202495326684037e-05,-0.0004226984246041126,0.000278966069412397,0.385,200
