model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,2.2503849994074652e-07,-0.00033279675000388544,0.0004883001147507699
Response,0.02,0.00019550482242639358,-0.0002217870739505158,0.000650817819740451
Response,0.05,0.0006094523645426514,0.0001663778744889687,0.00106585269381975
Response,0.1,0.0006806155302137998,0.00019315248380055342,0.0012644952806746576
Response,0.15,0.0008361291794290726,0.00030830666890694443,0.0014171497493096015
Response,0.2,0.000976249136956028,0.0004448830481618793,0.0015754570194461243
Response,0.25,0.0010009435171382383,0.0004953412066184371,0.001640346029226034
Response,0.3,0.0010122563372447233,0.0005063463401782756,0.0016581798473436552
Response-Sentinel,0.01,0.00015333406895819268,-0.00012891928884914137,0.0006460905085274991
Response-Sentinel,0.02,0.00027855715710872514,-6.285758389826764e-05,0.0008166721731227622
Response-Sentinel,0.05,0.0006095209836996619,0.0001584535461157116,0.001072396213037868
Response-Sentinel,0.1,0.0007052292423840514,0.0001987707046602999,0.0012985744368861204
Response-Sentinel,0.15,0.0009225326065529135,0.00039213204003120633,0.0015491445718368343
Response-Sentinel,0.2,0.0009731199764565177,0.0004405222027409402,0.001575739136853476
Response-Sentinel,0.25,0.0009915572026884534,0.0004871380753490376,0.0016314596360133134
Response-Sentinel,0.3,0.0010006015870734494,0.0004893074679803962,0.0016360560948064575
S-Under7,0.01,7.593411355191911e-05,-0.00016979386332816683,0.0003612994631172364
S-Under7,0.02,0.00018724356383217506,-0.00011329882558557332,0.0005036234963279004
S-Under7,0.05,0.00042317040973884355,-2.4812664299733544e-05,0.0007849136573362963
S-Under7,0.1,0.0006483500480807181,0.00031313059037082574,0.001121771385389951
S-Under7,0.15,0.0010271003688956803,0.0006594567497668429,0.0015917186879206113
S-Under7,0.2,0.001040216003208717,0.0004810800660145339,0.0016047192018494515
S-Under7,0.25,0.0010290356509392669,0.0004975826457699227,0.0016208084949879185
S-Under7,0.3,0.0010495038418668876,0.000513240977340224,0.0016386232936143675
S-Sentinel-Under7,0.01,2.6157227230298292e-05,-0.00022884019170361762,0.00030695464338036094
S-Sentinel-Under7,0.02,2.222083151100114e-05,-0.00027829694418283205,0.0003598424435628107
S-Sentinel-Under7,0.05,0.00030518453663968295,3.2341136665636274e-05,0.0007569048226388682
S-Sentinel-Under7,0.1,0.0007088805090137882,0.00032055646987484373,0.0012603390167836275
S-Sentinel-Under7,0.15,0.0007771255870171515,0.00031412702081538466,0.0013842905930574806
S-Sentinel-Under7,0.2,0.000895324605292516,0.0004734755851827592,0.0014864214287388915
S-Sentinel-Under7,0.25,0.0009711054905895327,0.0005516192874685473,0.0015700683611997463
S-Sentinel-Under7,0.3,0.0010345662653171302,0.0006108751634380234,0.0016766885343200777
X-Renormalized,0.01,0.0001477774640860579,-7.275631103622398e-05,0.00038530597923934305
X-Renormalized,0.02,0.0004495706180390649,0.00012066169952755883,0.0008153410290622863
X-Renormalized,0.05,0.0005203832757617999,0.00020251523418220573,0.0010756374056034635
X-Renormalized,0.1,0.0007074521948005032,0.0002529632478942939,0.0012128110157556477
X-Renormalized,0.15,0.0007191486499960513,0.00025984446129162037,0.0013027889142776146
X-Renormalized,0.2,0.0008747361725956329,0.00034693594631036626,0.001538042027202625
X-Renormalized,0.25,0.0008817954716695292,0.0003643825908296214,0.0015275895104841669
X-Renormalized,0.3,0.0009019487937568121,0.00038304870404862147,0.001546970171106225
Funnel-S,0.01,0.0001733059704838421,-0.00015826136148024497,0.000536557598856263
Funnel-S,0.02,0.0002482117863888128,-5.89269310481203e-05,0.0007639524984723685
Funnel-S,0.05,0.00036142815773379636,-3.0033995966238683e-05,0.0009082406716843432
Funnel-S,0.1,0.000668865467826493,0.00025458089946089944,0.001247518931572355
Funnel-S,0.15,0.0008828553383349692,0.00041914439704188297,0.0014839441354525195
Funnel-S,0.2,0.0009849754083129103,0.00049555121434841,0.0015947354047520272
Funnel-S,0.25,0.0009758712749820091,0.00048809889773236237,0.0015898365128459724
Funnel-S,0.3,0.001007520870774555,0.0005272290260577644,0.0016264642161093236
Funnel-S-Sentinel,0.01,4.852154777998706e-05,-0.0002695351745343693,0.0004235217934474549
Funnel-S-Sentinel,0.02,0.00030267292698376555,-1.137496446808375e-05,0.0008316485593402145
Funnel-S-Sentinel,0.05,0.00044455989428109825,2.208001501518018e-05,0.0009570772771409114
Funnel-S-Sentinel,0.1,0.0006320123762812366,0.00023915987339153538,0.0011942516075483514
Funnel-S-Sentinel,0.15,0.0009225768529662496,0.00045581111313865267,0.0015322624063166814
Funnel-S-Sentinel,0.2,0.0009678840343049429,0.0004945357161043142,0.0015703087973000906
Funnel-S-Sentinel,0.25,0.0009944272520193765,0.0004984373573228904,0.0015785688953887248
Funnel-S-Sentinel,0.3,0.001005436574508463,0.0005236910199177061,0.0015897712690170953
Expected random (stochastic policy),0.01,1.0995601563836863e-05,,
Expected random (stochastic policy),0.02,2.1991203127673725e-05,,
Expected random (stochastic policy),0.05,5.4978007819184313e-05,,
Expected random (stochastic policy),0.1,0.00010995601563836863,,
Expected random (stochastic policy),0.15,0.00016493402345755292,,
Expected random (stochastic policy),0.2,0.00021991203127673725,,
Expected random (stochastic policy),0.25,0.00027489003909592156,,
Expected random (stochastic policy),0.3,0.00032986804691510584,,
