stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
smoke,Response-Sentinel,Response,2.4355348535090755e-05,-1.5366844509192383e-05,5.177457745336667e-05,0.9333333333333333,0.00013598518156910538,-6.065807556167877e-05,0.0002907914740169245,0.9,30
smoke,S-Under7,Response,2.1487810331515585e-05,-0.00010808987711583287,0.0001645208419469655,0.5666666666666667,0.0003821667499359449,-0.0010665332049308684,0.0018593081200054037,0.7,30
smoke,S-Sentinel-Under7,Response,-7.594497372473148e-05,-0.00019628883955443,0.00013159885119654966,0.3,-4.867464625511893e-05,-0.0016336909215356795,0.0017488064568837558,0.5666666666666667,30
smoke,X-Renormalized,Response,-5.5315923558685916e-05,-0.00015191956403869496,3.190625509308712e-05,0.23333333333333334,0.00016618451578369613,-0.0011524433285951593,0.0014093783069766737,0.6333333333333333,30
smoke,Funnel-S,Response,-2.478725761716682e-05,-8.619706957981267e-05,8.723599216386031e-05,0.4,0.00046374704626330723,-0.00040650148962106746,0.0014248557903271282,0.7666666666666667,30
smoke,Funnel-S-Sentinel,Response,-1.1148933274440038e-05,-7.811562227357072e-05,8.361657327974763e-05,0.5,0.00042318044872461237,-0.00042214933398676,0.0015290759450945527,0.7333333333333333,30
smoke,Response,X-Renormalized,5.5315923558685916e-05,-3.190625509308715e-05,0.00015191956403869483,0.7666666666666667,-0.00016618451578369613,-0.0014093783069766739,0.0011524433285951589,0.36666666666666664,30
smoke,Response-Sentinel,X-Renormalized,7.967127209377667e-05,-6.330471715309808e-06,0.00018094420690700492,0.9,-3.019933421459075e-05,-0.0012407934974543247,0.0012696995972859546,0.4,30
smoke,S-Under7,X-Renormalized,7.68037338902015e-05,-2.4338357088259023e-05,0.0002028566914652442,0.9,0.00021598223415224879,-0.00023383010985732238,0.0008893409921850012,0.8,30
smoke,S-Sentinel-Under7,X-Renormalized,-2.062905016604556e-05,-0.00015239715829070766,0.0001618525950525369,0.5666666666666667,-0.00021485916203881506,-0.0009445842415046855,0.0009581490897038494,0.4666666666666667,30
smoke,Funnel-S,X-Renormalized,3.0528665941519095e-05,-2.338149812298491e-05,0.00016056452862732603,0.7333333333333333,0.0002975625304796111,-0.00027620273233743583,0.0010307106709921663,0.8666666666666667,30
smoke,Funnel-S-Sentinel,X-Renormalized,4.416699028424588e-05,-3.421788718945889e-05,0.000191874013931764,0.8333333333333334,0.00025699593294091624,-0.00026873727876616695,0.0009243267430455339,0.8,30
