model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.0004115125563014037,0.000342246683397241,0.0004899237743993158
Response,0.02,0.0005646497853820549,0.00048812328366502666,0.0006499414113898624
Response,0.05,0.0007486819426516986,0.0006649025010852442,0.0008292848316969394
Response,0.1,0.0008406238904414492,0.000746177763024037,0.0009281923860714361
Response,0.15,0.0008895410776234434,0.000793092185942157,0.0009905180037403894
Response,0.2,0.0009260243229931053,0.0008273563119195787,0.0010299683394217319
Response,0.25,0.0009422565447079893,0.0008404299111476729,0.0010443149261272011
Response,0.3,0.0009521834498686534,0.0008507388239232381,0.0010564672106433653
X-Renormalized,0.01,0.0004066270913898221,0.0003522705799043474,0.0004491057818964508
X-Renormalized,0.02,0.0005427355045449662,0.0004837898309133839,0.0006133430430499792
X-Renormalized,0.05,0.0007104880176550287,0.0006307669414597232,0.0007843976249841838
X-Renormalized,0.1,0.000808387295818842,0.0007260086582602672,0.0008968409646798518
X-Renormalized,0.15,0.0008691284454606996,0.000776815073295284,0.0009670941186697968
X-Renormalized,0.2,0.000898962216283404,0.0008087712131918706,0.0009957174653822723
X-Renormalized,0.25,0.0009204086991878484,0.0008331697331077766,0.001013036716883626
X-Renormalized,0.3,0.0009300722213155558,0.0008408732192975841,0.0010267545781329631
S-Under7,0.01,0.00031745400235029585,0.00027241420193572244,0.0003668299232544827
S-Under7,0.02,0.0004701913976172891,0.0004093916636868893,0.0005284963503878719
S-Under7,0.05,0.0007113313647861048,0.0006322958186812356,0.0007946920093438358
S-Under7,0.1,0.0008540641894475587,0.000766685228158508,0.0009403838797964794
S-Under7,0.15,0.0008794083566844256,0.0007901753179075622,0.0009753212719221453
S-Under7,0.2,0.0008961536680991947,0.0008019986476856234,0.0009920391412924
S-Under7,0.25,0.000925058051447832,0.0008308445817507616,0.0010233986337398059
S-Under7,0.3,0.0009342120727164744,0.0008362154339118992,0.0010311608524333138
Rank-K1,0.01,0.00014799181380821885,0.00011882989543638393,0.0001756274915896704
Rank-K1,0.02,0.0002618770433646578,0.00022242487145213258,0.0003021229255960343
Rank-K1,0.05,0.000533905713049916,0.0004746793921713071,0.000598614525737334
Rank-K1,0.1,0.0007905661533921368,0.0007147063094241051,0.0008773657893768072
Rank-K1,0.15,0.0008473299325690275,0.0007655126717310396,0.0009438004995291889
Rank-K1,0.2,0.0009049222536358392,0.0008111215350148893,0.0010003733999211948
Rank-K1,0.25,0.0009179328609338351,0.0008207882397798654,0.0010148735899030493
Rank-K1,0.3,0.0009273361759384168,0.0008291658741000106,0.001024130609166018
Rank-K05,0.01,0.00013753784308075445,0.00011277330662609366,0.00016121770423109703
Rank-K05,0.02,0.00021331109327574405,0.00017624430470660854,0.00025566345690406254
Rank-K05,0.05,0.00043666938084531274,0.0003841132261746359,0.0004951652331189919
Rank-K05,0.1,0.000752286413877522,0.0006779311524710718,0.0008348003305618383
Rank-K05,0.15,0.0008434871606330803,0.0007589925033151407,0.0009398432905004739
Rank-K05,0.2,0.0009035301602483359,0.0008072722340507552,0.0010073264031645371
Rank-K05,0.25,0.0009201797303875376,0.0008275555590863512,0.0010166856911626742
Rank-K05,0.3,0.0009305101301231365,0.0008352695543217647,0.0010303754001363217
Rank-K2,0.01,0.0001531784406216341,0.0001228660997730878,0.000184883775992688
Rank-K2,0.02,0.00028417449357895987,0.00023704353450196747,0.0003295596644093515
Rank-K2,0.05,0.0006520787843734587,0.0005877318991569846,0.0007207072412308768
Rank-K2,0.1,0.0007986849653244105,0.0007119308533527018,0.0008812221034909573
Rank-K2,0.15,0.0008570745755655781,0.0007635354512369392,0.0009510092602415053
Rank-K2,0.2,0.0009045285893230069,0.0008100219935629016,0.001004242740115237
Rank-K2,0.25,0.000922715064478819,0.000827779834082355,0.0010260615803968714
Rank-K2,0.3,0.0009284912993159883,0.0008316216557121771,0.0010262226586465388
Expected random (stochastic policy),0.01,9.78835350399973e-06,,
Expected random (stochastic policy),0.02,1.957670700799946e-05,,
Expected random (stochastic policy),0.05,4.894176751999866e-05,,
Expected random (stochastic policy),0.1,9.788353503999732e-05,,
Expected random (stochastic policy),0.15,0.00014682530255999597,,
Expected random (stochastic policy),0.2,0.00019576707007999463,,
Expected random (stochastic policy),0.25,0.00024470883759999327,,
Expected random (stochastic policy),0.3,0.00029365060511999194,,
