stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
finalist,X-Renormalized,Response,-2.6280033123288237e-05,-4.556525799509144e-05,-9.037822727900935e-06,0.0,-0.00011505465839203345,-0.00029745397628818933,3.358754751619341e-05,0.09,200
finalist,S-Under7,Response,-2.238222956147556e-05,-5.155779105189149e-05,6.792147332698963e-06,0.05,-0.00031195128857444427,-0.0005442717729297325,-9.46918029288743e-05,0.0,200
finalist,Rank-K1,Response,-8.09311080927534e-05,-9.942807855811535e-05,-6.24815287954798e-05,0.0,-0.0010358739008379508,-0.0012631733052326608,-0.0008132827837745703,0.0,200
finalist,Rank-K05,Response,-0.00010471414277620145,-0.000128980551376819,-8.071997063042563e-05,0.0,-0.0011088145242524215,-0.0013581610701909252,-0.0008834043791511166,0.0,200
finalist,Rank-K2,Response,-5.906806401074355e-05,-7.50470597037443e-05,-4.265660960825909e-05,0.0,-0.000962613024666362,-0.0011766700262031513,-0.0007541889672573429,0.0,200
finalist,Response,X-Renormalized,2.6280033123288237e-05,9.037822727900936e-06,4.556525799509144e-05,1.0,0.00011505465839203345,-3.358754751619333e-05,0.00029745397628818933,0.91,200
finalist,S-Under7,X-Renormalized,3.897803561812678e-06,-2.0203776825749614e-05,2.4769956362438386e-05,0.68,-0.00019689663018241082,-0.0003061115656842316,-6.406580589887172e-05,0.0,200
finalist,Rank-K1,X-Renormalized,-5.465107496946517e-05,-7.991300800443928e-05,-2.999471881256578e-05,0.0,-0.0009208192424459173,-0.0010795144932857234,-0.0007702771975065519,0.0,200
finalist,Rank-K05,X-Renormalized,-7.843410965291322e-05,-0.00010659424061271687,-5.175232731292439e-05,0.0,-0.000993759865860388,-0.001176832920945708,-0.0008395168547907686,0.0,200
finalist,Rank-K2,X-Renormalized,-3.278803088745531e-05,-5.481646447852641e-05,-1.1886947657792654e-05,0.005,-0.0008475583662743286,-0.0009961809554500773,-0.0007155246269218066,0.0,200
