model,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,is_cate_scale,fold_seed,pool_fraction,n_rows
Response,0.0008518093609437516,0.000752990903202086,0.0032193655244179857,0.0028432595642837316,0.00043693887350290694,0.1851458497862934,0.005991994589163893,False,101,1.0,5591836
X-Renormalized,0.0008255293276100951,0.0007253880216677057,0.003104310863611092,0.0026377434613228824,0.0004138668285800614,0.17602884773824787,0.005690907299914466,True,101,1.0,5591836
S-Under7,0.0008294271312464059,0.0007296232191768945,0.0029074142340033285,0.0024548833734103683,0.00041933847267199817,0.17965756452947232,0.005810559064103606,True,101,1.0,5591836
Rank-K1,0.0007708782526824424,0.0006782773714028516,0.002183491619499712,0.0018895213779082914,0.00037954151726451643,0.1769307669866525,0.005727185402379733,False,101,1.0,5591836
Rank-K05,0.0007470952178301805,0.0006594675028966639,0.00211055099554105,0.001836542993908639,0.0003839546337710411,0.17598156998833744,0.005698732823928452,False,101,1.0,5591836
Rank-K2,0.0007927412968353147,0.0006963664794322578,0.002256752495814346,0.001946615758747779,0.00037749611009378295,0.17785297882593462,0.00575532249838076,False,101,1.0,5591836
Ensemble-QAgg,0.0008351110576795224,0.0007352743682697099,0.0030401689304997226,0.0025725581622970117,0.00042218774206305486,0.1794583251325087,0.005801348122795146,True,101,1.0,5591836
Ensemble-BestSingle,0.0008255293276100951,0.0007253880216677057,0.003104310863611092,0.0026377434613228824,0.0004138668285800614,0.17602884773824787,0.005690907299914466,True,101,1.0,5591836
Ensemble-RankAverage,0.000826397771929195,0.0007272125800358154,0.00286746631230469,0.002461593690454151,0.00042727613949789585,0.18229574016772207,0.0058966648193587955,False,101,1.0,5591836
Response,0.0008704103533723396,0.0007569216054433284,0.0033737232538129432,0.0029246665733742433,0.0004459323309913187,0.18496099367956761,0.005985285880183182,False,202,1.0,5591836
X-Renormalized,0.0008438270406052384,0.0007278774387471302,0.0030991063025961997,0.0025856937457335513,0.00042054415807954345,0.1766739768202266,0.005712508088932028,True,202,1.0,5591836
S-Under7,0.0007988864013581063,0.0006856832369132996,0.002771335469085465,0.0022760433038825465,0.00038871130123115235,0.1641062184946824,0.005304900094530509,True,202,1.0,5591836
Rank-K1,0.0008023959440106546,0.0006930271286053758,0.002299425781459798,0.001961316339077445,0.00039126309911746726,0.17800318921825162,0.005759656565421598,False,202,1.0,5591836
Rank-K05,0.0007946630554318402,0.0006883320032556406,0.0022273056103718296,0.0019074683094189187,0.00039929385658719197,0.1780616830341072,0.005762551145042592,False,202,1.0,5591836
Rank-K2,0.0008024707767006189,0.0006929709376649115,0.002272723570899698,0.0019187358286978937,0.00038309160839535526,0.17591254157860214,0.0056915611988624226,False,202,1.0,5591836
Ensemble-QAgg,0.0008341432742464993,0.0007181730025402293,0.0029901599311797436,0.002472360544411965,0.0004221230279475433,0.1760951452882374,0.005692602778052879,True,202,1.0,5591836
Ensemble-BestSingle,0.0008438270406052384,0.0007278774387471302,0.0030991063025961997,0.0025856937457335513,0.00042054415807954345,0.1766739768202266,0.005712508088932028,True,202,1.0,5591836
Ensemble-RankAverage,0.0008273120011140181,0.0007138556621581076,0.002898862796721038,0.00241687473338829,0.00043105312019950446,0.18055185390989317,0.005839257238800889,False,202,1.0,5591836
