model_a,model_b,fold_seed,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,n_boot
X-Renormalized,Response,101,-2.6280033333656526e-05,-4.556525822025815e-05,-9.037822858602113e-06,0.0,-0.00011505466080689386,-0.0002974539795459611,3.358754751541306e-05,200
S-Under7,Response,101,-2.2382229697345715e-05,-5.155779145083641e-05,6.792146749297333e-06,0.05,-0.00031195129041465715,-0.0005442717753814079,-9.469180151955824e-05,200
Rank-K1,Response,101,-8.093110826130922e-05,-9.942807902792298e-05,-6.248152893935386e-05,0.0,-0.0010358739049182736,-0.0012631733144352708,-0.0008132827876712622,200
Rank-K05,Response,101,-0.00010471414311357112,-0.0001289805520763874,-8.071997095290422e-05,0.0,-0.0011088145288769358,-0.0013581610805247337,-0.0008834043847678274,200
Rank-K2,Response,101,-5.9068064108436886e-05,-7.50470596826889e-05,-4.2656609579905026e-05,0.0,-0.0009626130286036396,-0.0011766700279909445,-0.0007541889713616064,200
Ensemble-QAgg,Response,101,-1.6698303264229154e-05,-3.799135015326299e-05,4.0582026325053074e-06,0.06,-0.00017919659391826305,-0.0003575191078565843,4.780314115482563e-06,200
Ensemble-BestSingle,Response,101,-2.6280033333656526e-05,-4.556525822025815e-05,-9.037822858602113e-06,0.0,-0.00011505466080689386,-0.0002974539795459611,3.358754751541306e-05,200
Ensemble-RankAverage,Response,101,-2.5411589014556562e-05,-4.512039427946899e-05,-4.684531832760816e-06,0.01,-0.0003518992121132958,-0.0005521675457029674,-0.00015381794474504597,200
Response,X-Renormalized,101,2.6280033333656526e-05,9.037822858602117e-06,4.556525822025815e-05,1.0,0.00011505466080689386,-3.358754751541299e-05,0.0002974539795459611,200
S-Under7,X-Renormalized,101,3.897803636310811e-06,-2.0203776975527716e-05,2.4769956798714876e-05,0.68,-0.00019689662960776328,-0.0003061115661522854,-6.406580395032351e-05,200
Rank-K1,X-Renormalized,101,-5.4651074927652694e-05,-7.991300767012215e-05,-2.9994718901756824e-05,0.0,-0.0009208192441113798,-0.0010795144906297059,-0.0007702771975248385,200
Rank-K05,X-Renormalized,101,-7.84341097799146e-05,-0.00010659424027123885,-5.1752327175256554e-05,0.0,-0.000993759868070042,-0.00117683292397718,-0.0008395168553344353,200
Rank-K2,X-Renormalized,101,-3.278803077478036e-05,-5.481646423264829e-05,-1.1886947642532258e-05,0.005,-0.0008475583677967457,-0.0009961809528596986,-0.0007155246298051035,200
Ensemble-QAgg,X-Renormalized,101,9.581730069427373e-06,-3.175563219067834e-06,2.053955978169268e-05,0.935,-6.414193311136919e-05,-0.00012271206927995916,7.290005054591282e-06,200
Ensemble-BestSingle,X-Renormalized,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
Ensemble-RankAverage,X-Renormalized,101,8.684443190999647e-07,-1.5669710888778875e-05,1.678032795043697e-05,0.5,-0.00023684455130640195,-0.00036589835759526115,-0.00012694696952510092,200
