model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.00044142180091196614,0.00037698169289512526,0.0005187800839427538
Response,0.02,0.000601936625401288,0.000522815359619305,0.000682383889082212
Response,0.05,0.0007647811641816445,0.0006796517365164843,0.000857127238252022
Response,0.1,0.0008552533536112114,0.0007604504426742453,0.0009440453559879585
Response,0.15,0.0009042878913432336,0.0008063139967670181,0.0010033713148341968
Response,0.2,0.000948439236373651,0.0008453164101059603,0.0010473877534489407
Response,0.25,0.0009589643614665431,0.0008589342197084715,0.0010616344760666953
Response,0.3,0.0009693868938067912,0.0008669476474225061,0.0010713212604980486
X-Renormalized,0.01,0.0003880587633148677,0.0003411033227519083,0.0004330497775528831
X-Renormalized,0.02,0.0005156740080009425,0.00044706430975361306,0.0005787455247013461
X-Renormalized,0.05,0.0007459407248923353,0.0006578062484526679,0.0008314361195835079
X-Renormalized,0.1,0.0008438666421516423,0.0007568744516466919,0.000933790390960888
X-Renormalized,0.15,0.0008922097705737924,0.0007929874341779801,0.000986184933984184
X-Renormalized,0.2,0.0009165147917345278,0.0008239862988622894,0.001011255004459806
X-Renormalized,0.25,0.0009307214231924754,0.0008305889333256061,0.001023658471412669
X-Renormalized,0.3,0.0009381123073125337,0.0008379900646287155,0.0010342585608817292
S-Under7,0.01,0.00029480930182557933,0.00024569308328791916,0.00033830974369321434
S-Under7,0.02,0.0004573885744277891,0.00039386980318190155,0.0005241652700596954
S-Under7,0.05,0.0006839680141139824,0.0006098304065611278,0.0007531574536287984
S-Under7,0.1,0.0007929697056851488,0.0007075860237380264,0.0008789763182630504
S-Under7,0.15,0.0008441040880990863,0.0007542577690572787,0.0009378764632996103
S-Under7,0.2,0.0008832366747957322,0.000789158173416961,0.0009743322848029482
S-Under7,0.25,0.0008968525556823331,0.0008021189302144794,0.000989804160765533
S-Under7,0.3,0.0009135346776523312,0.0008165245611783879,0.0010089355571941089
Rank-K1,0.01,0.00015737661845786243,0.0001268968236575466,0.000185327109887952
Rank-K1,0.02,0.00027237631245197077,0.00022807760242750746,0.00031056201975444305
Rank-K1,0.05,0.0006510359683222228,0.0005766734504108253,0.0007198129099704012
Rank-K1,0.1,0.00077634682178438,0.0006904490212526493,0.0008585371682037037
Rank-K1,0.15,0.0008753450352628075,0.0007846499500071226,0.0009661405947862971
Rank-K1,0.2,0.0009332677250534135,0.0008314296555633066,0.0010374468901292733
Rank-K1,0.25,0.0009513129084053239,0.0008488638150198508,0.001052212076915831
Rank-K1,0.3,0.0009442140528563475,0.0008410048185662487,0.001042009873597682
Rank-K05,0.01,0.00012844446792266312,0.00010196458332546675,0.00015100330050691666
Rank-K05,0.02,0.00022659705946333978,0.00018579605250740647,0.00026404166657581957
Rank-K05,0.05,0.0006143506554715937,0.0005455119342646604,0.0006826675232072981
Rank-K05,0.1,0.0007953016994928811,0.0007091424363730726,0.0008823591697590775
Rank-K05,0.15,0.0008616013110421607,0.0007643185233382258,0.0009558295647389258
Rank-K05,0.2,0.0009339363345944393,0.0008326433886054655,0.0010371347423620992
Rank-K05,0.25,0.0009485544094360073,0.000848217296357588,0.001048502133513879
Rank-K05,0.3,0.0009493763479010284,0.000844575397230672,0.0010506629346812024
Rank-K2,0.01,0.00015834715254384844,0.00012583113181594563,0.00018919357396175965
Rank-K2,0.02,0.00028051124464042706,0.00023755351243120765,0.0003148014723847751
Rank-K2,0.05,0.0006517135486199236,0.0005765736931346323,0.0007233906905538418
Rank-K2,0.1,0.0007714063079126981,0.0006842439752863785,0.0008544176763100503
Rank-K2,0.15,0.0008872277414014304,0.0007855434502968015,0.0009848566778079934
Rank-K2,0.2,0.0009296618878547119,0.0008264269580163452,0.0010321259886447284
Rank-K2,0.25,0.0009428898337064178,0.0008386436747491175,0.0010433029904088952
Rank-K2,0.3,0.0009474693697706742,0.0008440900606234271,0.0010471453329424446
Expected random (stochastic policy),0.01,9.9691791584035e-06,,
Expected random (stochastic policy),0.02,1.9938358316807e-05,,
Expected random (stochastic policy),0.05,4.9845895792017496e-05,,
Expected random (stochastic policy),0.1,9.969179158403499e-05,,
Expected random (stochastic policy),0.15,0.00014953768737605247,,
Expected random (stochastic policy),0.2,0.00019938358316806998,,
Expected random (stochastic policy),0.25,0.0002492294789600875,,
Expected random (stochastic policy),0.3,0.00029907537475210494,,
