stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
finalist,X-Renormalized,Response,-2.6583312162176804e-05,-4.862422894196243e-05,-6.753337293480338e-06,0.0,-0.00027461694990603847,-0.0004779676031097532,-7.723914431737235e-05,0.0,200
finalist,S-Under7,Response,-7.152395120029961e-05,-0.00010092833282444295,-4.393931125728461e-05,0.0,-0.0006023877825330152,-0.0008566218664221943,-0.00034647235237276146,0.0,200
finalist,Rank-K1,Response,-6.801440911665714e-05,-8.435165319527782e-05,-5.0631584471048596e-05,0.0,-0.001074297473877024,-0.0013005341698027362,-0.0008523024170397599,0.0,200
finalist,Rank-K05,Response,-7.574729790072127e-05,-9.620590781896549e-05,-5.444357138209065e-05,0.0,-0.0011464176452074958,-0.0014021548173201947,-0.0008785443540165315,0.0,200
finalist,Rank-K2,Response,-6.793957647034004e-05,-8.357901258821204e-05,-5.2403126485771895e-05,0.0,-0.00110099968489829,-0.0013113302755527873,-0.0008789913509199041,0.0,200
finalist,Response,X-Renormalized,2.6583312162176804e-05,6.753337293480348e-06,4.8624228941962435e-05,1.0,0.00027461694990603847,7.723914431737242e-05,0.00047796760310975326,1.0,200
finalist,S-Under7,X-Renormalized,-4.4940639038122806e-05,-7.281036377329575e-05,-2.0487431246467778e-05,0.0,-0.0003277708326269767,-0.00045287354449408183,-0.00020215932425602566,0.0,200
finalist,Rank-K1,X-Renormalized,-4.1431096954480337e-05,-6.5033489273911e-05,-2.0540978593601464e-05,0.0,-0.0007996805239709856,-0.0009597390908442122,-0.0006465753784702185,0.0,200
finalist,Rank-K05,X-Renormalized,-4.9163985738544464e-05,-7.459690982303838e-05,-2.5126335654384498e-05,0.0,-0.0008718006953014573,-0.0010499107714676233,-0.0007056461881502704,0.0,200
finalist,Rank-K2,X-Renormalized,-4.1356264308163235e-05,-6.328143424519816e-05,-2.1254023319427935e-05,0.0,-0.0008263827349922516,-0.0009689686832278919,-0.0006711239456089888,0.0,200
