model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.0003510315420969307,0.00018286729611679636,0.00048510120619106194
Response,0.02,0.000488891877739675,0.00030572984934604475,0.0006325120352570892
Response,0.05,0.0006220950807134257,0.00044011130600491143,0.0008028073444567564
Response,0.1,0.0007394136124170564,0.0005336252988715646,0.0009351582760377394
Response,0.15,0.0008012196015271261,0.0005942681881705526,0.001003774792401358
Response,0.2,0.0008450255224245615,0.0006420936961887666,0.001054379659800526
Response,0.25,0.0008818392608134231,0.0006773076415082483,0.0010873719675506355
Response,0.3,0.0008921522955526532,0.0006860030231296454,0.0010893966765618062
X-Renormalized,0.01,0.0002522937739989033,9.801283096184417e-05,0.00040741475566551317
X-Renormalized,0.02,0.00040246042706489066,0.00022091754950965157,0.0005618193050296376
X-Renormalized,0.05,0.000536594451626435,0.00035661632011253314,0.0007086260782866778
X-Renormalized,0.1,0.0006702534870717836,0.0004876696323658071,0.0008716535580422262
X-Renormalized,0.15,0.0007499637459503243,0.0005515930849617373,0.0009382445222097935
X-Renormalized,0.2,0.0007836282112468452,0.0005717232202659856,0.0009738212942743583
X-Renormalized,0.25,0.000798459274146797,0.0005838376922490153,0.000978249714415569
X-Renormalized,0.3,0.0007997651113743273,0.0005812608874963201,0.0010010459190115514
S-Under7,0.01,0.0002881277903200996,0.000164201255909487,0.00039080315625932845
S-Under7,0.02,0.00034283915322731793,0.00018260016078812491,0.0004841832502407551
S-Under7,0.05,0.0005312472143227308,0.0003462305337124679,0.0006835132675300878
S-Under7,0.1,0.0006457201040576214,0.0004675517811217771,0.0008211042547742499
S-Under7,0.15,0.0007352377606377044,0.0005419954490946238,0.0009135422706740602
S-Under7,0.2,0.0007494984325870856,0.0005726022934758565,0.0009343549384228536
S-Under7,0.25,0.0007738151190771072,0.0005818957385991006,0.0009553787480597998
S-Under7,0.3,0.0007935872003377352,0.0006043675093564563,0.0009717701240137021
T-Under7,0.01,0.0002828488429154281,0.0001312416945699131,0.0004310970572083339
T-Under7,0.02,0.0003563346487562208,0.0001884705918115419,0.0005114819438727898
T-Under7,0.05,0.00044072230740642307,0.00025156858616731084,0.0006026964782769544
T-Under7,0.1,0.0005325362050060081,0.00032450628622077827,0.000714033035384027
T-Under7,0.15,0.0005626484449105604,0.0003645171522272399,0.0007384064105067663
T-Under7,0.2,0.0005519860361770563,0.00034440004726658433,0.0007277651338216372
T-Under7,0.25,0.0005574250143843989,0.00034958908940023475,0.000731932442734923
T-Under7,0.3,0.0005660561341458663,0.000356054456120471,0.0007417310915390841
DR-Regression,0.01,0.00030973554001942555,0.00018529800408348637,0.000400954314722464
DR-Regression,0.02,0.0003735946402748553,0.00023945034774685924,0.0004924703004469267
DR-Regression,0.05,0.0004997113808084606,0.00033149466857157196,0.0006184608269032888
DR-Regression,0.1,0.0005386715727471288,0.0003535174984070297,0.000680710533409903
DR-Regression,0.15,0.0006037429329095047,0.00041561137091135114,0.000750406564181799
DR-Regression,0.2,0.0006312047139709889,0.00044203869224158373,0.0007858417375391893
DR-Regression,0.25,0.0006326067620466321,0.00043877967762189597,0.0007910275503646851
DR-Regression,0.3,0.0006386047700050668,0.00044968563229983897,0.00079731183911431
DR-Binary,0.01,0.00032625294424841494,0.00019416036031694487,0.00042495254887450697
DR-Binary,0.02,0.00037447558252859945,0.0002466970035473892,0.00048276201558687996
