model,policy_area_dr_mean,policy_area_dr_min,autoc_dr_mean,qini_mean,n_seeds
Response,0.000765846572940253,0.000765846572940253,0.0027290237199907533,0.1768408986690017,1
Ensemble-QAgg,0.0007038755047587758,0.0007038755047587758,0.00231339130798922,0.1474455781466878,1
Rank-K05,0.0006980777464666209,0.0006980777464666209,0.0021095011263341365,0.16957942303749865,1
Rank-K1,0.0006938596803186106,0.0006938596803186106,0.002227615655684069,0.1688610629365465,1
X-Renormalized,0.0006927028251684676,0.0006927028251684676,0.00220143899853618,0.15160006217499936,1
Rank-K2,0.0006873304190412443,0.0006873304190412443,0.0020297112697012683,0.16533517042638765,1
Ensemble-BestSingle,0.0006710364209326966,0.0006710364209326966,0.0021900236446509517,0.12937549473985402,1
S-Under7,0.0006710364209326966,0.0006710364209326966,0.0021900236446509517,0.12937549473985402,1
DR-Regression,0.0005699498085900348,0.0005699498085900348,0.0018624152121297602,0.07684425395977366,1
DR-Binary-MC2,0.0005693880611599539,0.0005693880611599539,0.0017655624354478224,0.08648452806751707,1
DR-Binary,0.0005542175265284536,0.0005542175265284536,0.0017334952383648995,0.07423232582957803,1
R-Binary,0.0005520276461242321,0.0005520276461242321,0.0017638363957264878,0.06774263960570086,1
Ensemble-RankAverage,0.0005374484869749299,0.0005374484869749299,0.0017450747692244976,0.13615206871284577,1
R-Regression,0.0005223512383213049,0.0005223512383213049,0.0017631409573967674,0.058725756238484604,1
T-Under7,0.0005191414417964203,0.0005191414417964203,0.0016168290136712004,0.04479429464731115,1
