model,policy_area_dr,policy_area_dr_adjusted,autoc_dr,autoc_dr_adjusted,rate_qini_dr,qini_score,auuc_score,is_cate_scale,fold_seed,pool_fraction,n_rows
Response,0.000765846572940253,0.0006830319119214886,0.0027290237199907533,0.0024201877040389104,0.0003950169774905914,0.1768408986690017,0.005722317465359353,False,101,0.2,1118367
X-Renormalized,0.0006927028251684676,0.0006171352893030262,0.00220143899853618,0.001958432534339386,0.0003333188773819413,0.15160006217499936,0.004903984242630984,True,101,0.2,1118367
S-Under7,0.0006710364209326966,0.0005886856907405129,0.0021900236446509517,0.0019296423810100125,0.0003010136576873245,0.12937549473985402,0.004189269408074589,True,101,0.2,1118367
T-Under7,0.0005191414417964203,0.00046666140577231944,0.0016168290136712004,0.0014538629041050992,0.00010685876739370317,0.04479429464731115,0.0014578691842291106,True,101,0.2,1118367
DR-Regression,0.0005699498085900348,0.000492214465535131,0.0018624152121297602,0.0016011945023130052,0.00015279604975762978,0.07684425395977366,0.0024829718701743064,True,101,0.2,1118367
DR-Binary,0.0005542175265284536,0.00047368746926987034,0.0017334952383648995,0.0014423699673718148,0.00014831925199134142,0.07423232582957803,0.0023974090181075654,True,101,0.2,1118367
DR-Binary-MC2,0.0005693880611599539,0.0004859361557472258,0.0017655624354478224,0.0014528649591597112,0.00016667767911316908,0.08648452806751707,0.0027962464276335237,True,101,0.2,1118367
R-Regression,0.0005223512383213049,0.0004391310373105757,0.0017631409573967674,0.0014665488858838773,0.00012736615462859927,0.058725756238484604,0.0018962652968665915,True,101,0.2,1118367
R-Binary,0.0005520276461242321,0.00047623322085636396,0.0017638363957264878,0.0015114335034411917,0.00015196075337834094,0.06774263960570086,0.0021906195988433117,True,101,0.2,1118367
Rank-K1,0.0006938596803186106,0.0006121640719564035,0.002227615655684069,0.001956435607523907,0.00036627541791409683,0.1688610629365465,0.005464303951113002,False,101,0.2,1118367
Rank-K05,0.0006980777464666209,0.0006173948829835109,0.0021095011263341365,0.001874236470203922,0.00036821210111718334,0.16957942303749865,0.005488818575492896,False,101,0.2,1118367
Rank-K2,0.0006873304190412443,0.0006053902217942012,0.0020297112697012683,0.0017728597264549156,0.00035446743443318096,0.16533517042638765,0.005350263481091633,False,101,0.2,1118367
Ensemble-QAgg,0.0007038755047587758,0.0006242817616578603,0.00231339130798922,0.002048778152568961,0.000344687480652196,0.1474455781466878,0.004769449940881677,True,101,0.2,1118367
Ensemble-BestSingle,0.0006710364209326966,0.0005886856907405129,0.0021900236446509517,0.0019296423810100125,0.0003010136576873245,0.12937549473985402,0.004189269408074589,True,101,0.2,1118367
Ensemble-RankAverage,0.0005374484869749299,0.0004592358186202575,0.0017450747692244976,0.0015475810885759033,0.000291847588538789,0.13615206871284577,0.004418065005493533,False,101,0.2,1118367
