model_a,model_b,fold_seed,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,n_boot
X-Renormalized,Response,101,-7.314374777178537e-05,-0.00011385480683878656,-2.5047029073167037e-05,0.0,-0.0005275847214545734,-0.00089860816999523,-0.00016439226669809608,200
S-Under7,Response,101,-9.481015200755636e-05,-0.00016949699172756248,-3.020469959808453e-05,0.005,-0.0005390000753398017,-0.0011159785964295005,7.2464498700002995e-06,200
T-Under7,Response,101,-0.0002467051311438327,-0.0003244120258633318,-0.00018076744756823703,0.0,-0.001112194706319553,-0.001519753123807119,-0.0006560907961460782,200
DR-Regression,Response,101,-0.0001958967643502182,-0.0002896395879996643,-9.694371334049233e-05,0.0,-0.0008666085078609931,-0.001508851053756761,-0.0002001660588538013,200
DR-Binary,Response,101,-0.0002116290464117994,-0.0003127327764268651,-0.00010685399089567518,0.0,-0.0009955284816258539,-0.001687148191308454,-0.0002670656593030063,200
DR-Binary-MC2,Response,101,-0.00019645851178029907,-0.00030068736860196894,-8.043287242997531e-05,0.0,-0.000963461284542931,-0.001679697225683779,-0.0003064207411732062,200
R-Regression,Response,101,-0.00024349533461894815,-0.00035078512518935617,-0.00014551154204715846,0.0,-0.0009658827625939859,-0.001627349071202627,-0.00034841947254586896,200
R-Binary,Response,101,-0.0002138189268160209,-0.00029868390264225917,-0.00010331536288001602,0.0,-0.0009651873242642656,-0.0015805785633113913,-0.00027014099082660553,200
Rank-K1,Response,101,-7.198689262164241e-05,-0.00011521078729309139,-2.5783911515341014e-05,0.01,-0.0005014080643066842,-0.0009665544640054105,-4.491257706800568e-05,200
Rank-K05,Response,101,-6.77688264736321e-05,-0.00011189624712741363,-1.9192343766269745e-05,0.015,-0.0006195225936566169,-0.0011156969946636056,-0.0001319941749810503,200
Rank-K2,Response,101,-7.851615389900871e-05,-0.0001154340396719285,-3.637905513767469e-05,0.0,-0.0006993124502894851,-0.001157489483159284,-0.00020409598043269483,200
Ensemble-QAgg,Response,101,-6.197106818147725e-05,-0.00011949364914521003,-1.0705620022751347e-05,0.01,-0.00041563241200153313,-0.0009458035364585405,6.268860067932096e-05,200
Ensemble-BestSingle,Response,101,-9.481015200755636e-05,-0.00016949699172756248,-3.020469959808453e-05,0.005,-0.0005390000753398017,-0.0011159785964295005,7.2464498700002995e-06,200
Ensemble-RankAverage,Response,101,-0.00022839808596532307,-0.0003236904820266789,-0.00012373989272322275,0.0,-0.0009839489507662558,-0.0015829147287061758,-0.00041274770767974416,200
Response,X-Renormalized,101,7.314374777178537e-05,2.5047029073167054e-05,0.00011385480683878658,1.0,0.0005275847214545734,0.00016439226669809616,0.0008986081699952301,200
S-Under7,X-Renormalized,101,-2.1666404235770988e-05,-0.00010340442477084461,4.76025058030958e-05,0.255,-1.1415353885228276e-05,-0.00043740861256317556,0.0003626238503973388,200
T-Under7,X-Renormalized,101,-0.00017356138337204735,-0.00025844970948216893,-9.565340261184083e-05,0.0,-0.0005846099848649795,-0.0010207738036802113,-0.00021496550186975947,200
DR-Regression,X-Renormalized,101,-0.00012275301657843282,-0.00022462234583329544,-2.3022211352119018e-05,0.01,-0.00033902378640641973,-0.000916302595944972,0.0002498512355226753,200
DR-Binary,X-Renormalized,101,-0.00013848529864001402,-0.0002466161195362856,-4.8840615469408335e-05,0.005,-0.0004679437601712805,-0.0011186043616443506,7.019826100158908e-05,200
DR-Binary-MC2,X-Renormalized,101,-0.0001233147640085137,-0.00022196584045895872,-2.4148497522616048e-05,0.01,-0.0004358765630883576,-0.0010805787256520406,9.3625073192127e-05,200
R-Regression,X-Renormalized,101,-0.00017035158684716278,-0.00027001781859534727,-8.146767798598295e-05,0.0,-0.00043829804113941257,-0.000990894838303497,0.00011282883463988398,200
R-Binary,X-Renormalized,101,-0.00014067517904423554,-0.00023457489223444784,-4.907363892706468e-05,0.005,-0.0004376026028096922,-0.0010432383909992386,0.00013899039958432296,200
Rank-K1,X-Renormalized,101,1.1568551501429589e-06,-4.85367882276063e-05,4.787479171601683e-05,0.5,2.6176657147889207e-05,-0.0003387773534643787,0.00046376593217277754,200
Rank-K05,X-Renormalized,101,5.3749212981532655e-06,-4.1501571122438765e-05,5.818872129981745e-05,0.565,-9.19378722020435e-05,-0.0004892044100387908,0.00038462258661575504,200
Rank-K2,X-Renormalized,101,-5.372406127223338e-06,-5.314794446328219e-05,3.816163107446983e-05,0.415,-0.00017172772883491168,-0.0005342976945394306,0.00020931666427968052,200
Ensemble-QAgg,X-Renormalized,101,1.1172679590308121e-05,-5.1750876284913376e-05,6.936769738793757e-05,0.6,0.00011195230945304025,-0.00026219727931853503,0.00046613956851379075,200
Ensemble-BestSingle,X-Renormalized,101,-2.1666404235770988e-05,-0.00010340442477084461,4.76025058030958e-05,0.255,-1.1415353885228276e-05,-0.00043740861256317556,0.0003626238503973388,200
Ensemble-RankAverage,X-Renormalized,101,-0.0001552543381935377,-0.000268032375625538,-6.761126456295405e-05,0.0,-0.0004563642293116824,-0.0008993434216914815,-1.2813107972058881e-05,200
