model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.0007866024662153869,0.0005743178436978549,0.001045095464424727
Response,0.02,0.0012991346147284769,0.0009591993423066546,0.0016067684876714867
Response,0.05,0.0028746736828890863,0.0022803342682068497,0.0033975289424760884
Response,0.1,0.0045496726046700305,0.003878109311607208,0.005259356398434387
Response,0.15,0.00577667820155103,0.004934250021933372,0.006551379465037585
Response,0.2,0.0064237830535941,0.005663042715327234,0.007295026866706593
Response,0.25,0.006712559273566889,0.005913365203144266,0.0075547340680184255
Response,0.3,0.006819576576489092,0.0060539038001531965,0.007621618330582568
X-Renormalized,0.01,0.0008036363331275286,0.0006888965009192666,0.0009137069597713729
X-Renormalized,0.02,0.0013903850870163627,0.0012184816949050866,0.0015618069691343787
X-Renormalized,0.05,0.002921034702943938,0.0026498909057309423,0.0032001554914026166
X-Renormalized,0.1,0.004618412546482476,0.004197294168836254,0.0050417959097480815
X-Renormalized,0.15,0.0053093236508482845,0.004820078868248387,0.005794312559690809
X-Renormalized,0.2,0.005836127977770564,0.005251523604799695,0.006397537065487938
X-Renormalized,0.25,0.00613776566635246,0.005498033122065648,0.006758769723848766
X-Renormalized,0.3,0.006391590737640425,0.005754766098603911,0.00704722813376142
S-Under7,0.01,0.0007932897423572742,0.0006783942359418163,0.0009197471364551915
S-Under7,0.02,0.0014003211208724205,0.0012253911409946295,0.0015590951237910448
S-Under7,0.05,0.0026359066402095793,0.002344168727379565,0.0029190694657455734
S-Under7,0.1,0.00419100415174034,0.003819237944014858,0.004582616431791232
S-Under7,0.15,0.005113859292023846,0.004682600714151165,0.005603870666436195
S-Under7,0.2,0.0056006796020662206,0.005076615114912858,0.006165501346988295
S-Under7,0.25,0.005936759281880471,0.005414536997805278,0.006530468005729445
S-Under7,0.3,0.006216816509381225,0.005586511438439468,0.006860178924214686
T-Under7,0.01,0.0007942247824796377,0.000677109814986852,0.0009069374671355137
T-Under7,0.02,0.0012927886412351475,0.0010996485168674023,0.0014855702138555004
T-Under7,0.05,0.0025497688670781072,0.0022192664717146904,0.002815522802211845
T-Under7,0.1,0.0035723819124101725,0.003129718492784857,0.003989797463736177
T-Under7,0.15,0.004565992135848842,0.004078615705333853,0.005118803933724674
T-Under7,0.2,0.004937284112045529,0.004399407500265508,0.005537217518050416
T-Under7,0.25,0.005371439508569746,0.004776208409836657,0.0060439711783993
T-Under7,0.3,0.0055625588230176605,0.004966901182638979,0.006247474171378904
DR-Binary,0.01,0.0013497187193946786,0.0011433555383877844,0.0015750146037892777
DR-Binary,0.02,0.0021378551618846465,0.0018452212069127781,0.0024543266770736915
DR-Binary,0.05,0.0038174948352275914,0.003377726634650178,0.004245191217399844
DR-Binary,0.1,0.004924299890723793,0.004354795583892564,0.005639514606834698
DR-Binary,0.15,0.005461757132988061,0.004865683070018593,0.006112635836426834
DR-Binary,0.2,0.0058474979135144,0.00530083670974503,0.006566759864991107
DR-Binary,0.25,0.005926394378327024,0.005314724887632087,0.0066936535581194785
DR-Binary,0.3,0.006012959858404479,0.005388283268623841,0.006751995630250858
R-Binary,0.01,0.0013336438164674785,0.0011540976181566977,0.0015517810565942685
R-Binary,0.02,0.0021057361128088603,0.0018370245337831453,0.0024196507000198643
R-Binary,0.05,0.003780090800349395,0.0033370603298419634,0.004279253907669381
R-Binary,0.1,0.004638363051857943,0.0042121722323296825,0.005302017601941501
R-Binary,0.15,0.005281981233770308,0.0047401387333058645,0.006057196863536479
R-Binary,0.2,0.005570904965690078,0.005038336132495094,0.006318534370584717
R-Binary,0.25,0.005675619552475803,0.005136843747691733,0.006442550475393937
R-Binary,0.3,0.005785087643199885,0.005271675989125665,0.006563976041863053
Expected random (stochastic policy),0.01,7.235108709486725e-05,,
Expected random (stochastic policy),0.02,0.0001447021741897345,,
Expected random (stochastic policy),0.05,0.0003617554354743363,,
Expected random (stochastic policy),0.1,0.0007235108709486726,,
Expected random (stochastic policy),0.15,0.0010852663064230088,,
Expected random (stochastic policy),0.2,0.0014470217418973451,,
Expected random (stochastic policy),0.25,0.0018087771773716813,,
Expected random (stochastic policy),0.3,0.0021705326128460176,,
