stage,model_a,model_b,policy_area_difference,policy_area_ci_low,policy_area_ci_high,policy_area_probability_positive,autoc_difference,autoc_ci_low,autoc_ci_high,autoc_probability_positive,n_boot
screen,X-Renormalized,Response,-0.0002930627275348867,-0.0007656769069285364,0.00023585446231794138,0.135,-0.000543631111118421,-0.0022348942518016037,0.001419917746261342,0.27,200
screen,S-Under7,Response,-0.0005295933005684383,-0.000979776389640349,-6.854202750428073e-06,0.025,-0.0009434142365947213,-0.0026974150282045735,0.0009337846366011109,0.155,200
screen,T-Under7,Response,-0.0010182421295970977,-0.0014785917464547249,-0.0005572389087958999,0.0,-0.00281774915071379,-0.004695194018799899,-0.0010588269089910722,0.0,200
screen,DR-Binary,Response,-9.655093289997856e-05,-0.0005073099084863729,0.0003499969147851744,0.345,0.000960758313924814,-0.00039807660012674195,0.002714153930286612,0.905,200
screen,R-Binary,Response,-0.0002950673048287772,-0.0006533753840607467,0.00014656732608834243,0.085,0.0003812287866549538,-0.0011190413704414547,0.002051651410593192,0.75,200
screen,Response,X-Renormalized,0.0002930627275348867,-0.00023585446231794128,0.0007656769069285365,0.865,0.000543631111118421,-0.0014199177462613415,0.0022348942518016046,0.73,200
screen,S-Under7,X-Renormalized,-0.00023653057303355159,-0.00041139072563499803,-1.902231120724138e-05,0.005,-0.00039978312547630027,-0.0009234404741650897,0.00010464628587522117,0.085,200
screen,T-Under7,X-Renormalized,-0.0007251794020622111,-0.0009581082499283211,-0.00045952920586823053,0.0,-0.002274118039595369,-0.0030956799575515164,-0.0014984809967681255,0.0,200
screen,DR-Binary,X-Renormalized,0.00019651179463490813,-0.00014775332422643577,0.000576233227574415,0.875,0.001504389425043235,0.00013810631890663115,0.002898465673912556,0.99,200
screen,R-Binary,X-Renormalized,-2.0045772938905373e-06,-0.00030225488351145953,0.0003856903745100019,0.58,0.0009248598977733748,-0.0002690806138619138,0.0024423538833602517,0.915,200
