model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,0.0008450275742512461,0.0002674965421559965,0.001373179892310561
Response,0.02,0.0010547187986669148,0.0005137528473815689,0.001577971221667143
Response,0.05,0.0012203608605622662,0.0005699493951343806,0.0018544012381387115
Response,0.1,0.0010768649935640918,0.0001782343685150198,0.001794085501055316
Response,0.15,0.0009501554924293552,0.0001001334753599974,0.0018221463913086877
Response,0.2,0.0010603409077712936,0.00027688229691103243,0.0019235790292692547
Response,0.25,0.0011377278154626567,0.00029857407777037886,0.0019324303240892324
Response,0.3,0.0010174861886896394,0.00020656995814288928,0.001876328674391345
T-Under7,0.01,0.0004233342996521054,9.400224532520987e-05,0.0007901898803811656
T-Under7,0.02,0.0006866497701187189,0.00015558026143932448,0.0012471268818818727
T-Under7,0.05,0.0010751953174072124,0.00042937639516632314,0.0017732107206703163
T-Under7,0.1,0.0009422131147815334,-3.4989021082616284e-05,0.0016449828765889181
T-Under7,0.15,0.0011342670756421776,7.981918224791935e-05,0.0018798390744937275
T-Under7,0.2,0.0010921833445502484,0.0001908389727699332,0.0019199039657436415
T-Under7,0.25,0.0010577984488206822,0.0001928510846568114,0.0019133246259963477
T-Under7,0.3,0.0011121565822653954,0.00023239405407859617,0.0019944372819912046
DR-Regression,0.01,0.00042229363731250747,0.00010029412255343738,0.0008212461587779182
DR-Regression,0.02,0.0008248208589762196,0.0005489507971149265,0.0011911907246762228
DR-Regression,0.05,0.0007794274903417807,0.0002081605040831321,0.0013458146622401094
DR-Regression,0.1,0.000988897372925927,0.0002556738975371183,0.0015829224469438132
DR-Regression,0.15,0.0011226632225474706,0.00035295483282827547,0.0018043250394301292
DR-Regression,0.2,0.001260463752286493,0.0006200985842351796,0.0019444604425990655
DR-Regression,0.25,0.0011535996190074516,0.00046908195549605705,0.0018210896584642115
DR-Regression,0.3,0.0012148425979518827,0.0005381768147503278,0.0019098078945283873
DR-Binary,0.01,0.0006629850834614706,0.00034962206244614294,0.0009583319174088392
DR-Binary,0.02,0.0006847388242878856,0.0003878678603259559,0.0011663742944990293
DR-Binary,0.05,0.0009445439639864945,0.0003857426438401438,0.0014217414633728945
DR-Binary,0.1,0.0009361008057676631,0.00014705392435026583,0.0016005832529430884
DR-Binary,0.15,0.0010383119926901652,0.0002695585950316341,0.0016888055763899022
DR-Binary,0.2,0.0011092384035771377,0.0003801741387662552,0.0017560242103801403
DR-Binary,0.25,0.001043280549360163,0.0002832068247230246,0.0016641934726817054
DR-Binary,0.3,0.0011029900766813575,0.00036675838892996393,0.001736607089311247
DR-Binary-MC2,0.01,0.0005566616105522505,0.0002504463908477986,0.0007847769703444216
DR-Binary-MC2,0.02,0.000757650202208942,0.00048416214413911726,0.001125334931714452
DR-Binary-MC2,0.05,0.0010292272359264942,0.0005140278225039644,0.0015522591990737192
DR-Binary-MC2,0.1,0.000888794716725783,0.00010754211005020088,0.0015059600216534045
DR-Binary-MC2,0.15,0.0010101399675879427,0.00026547482280071474,0.0016234489699248204
DR-Binary-MC2,0.2,0.0010698214773008673,0.00033921019831854784,0.0017155736232263167
DR-Binary-MC2,0.25,0.001045722224709438,0.0002346967059538406,0.0016625635634079543
DR-Binary-MC2,0.3,0.0011046940943162224,0.0003188893233700789,0.0017050781350196795
R-Regression,0.01,0.0006602036815715525,0.00035588997593416564,0.0009503712870691359
R-Regression,0.02,0.0007158484019539857,0.0004557517583571651,0.0011018897856146382
R-Regression,0.05,0.0008310574060552275,0.0002593528817945155,0.0014296284889912657
R-Regression,0.1,0.0012033904244984114,0.0005695405901744392,0.0018380733733145602
R-Regression,0.15,0.0012590997924879336,0.0006475266775203603,0.0019066082357502337
R-Regression,0.2,0.0012434441171079423,0.00039312974434132207,0.0018651496616997507
R-Regression,0.25,0.0011640201684148422,0.00041205587913522055,0.00187958163822661
R-Regression,0.3,0.0011242717903702652,0.00036050703015088633,0.001917182774655434
R-Binary,0.01,0.0006757018675810165,0.0003478801745107354,0.0010004259909647216
R-Binary,0.02,0.000968169685714648,0.0005174383036032815,0.0012728237308166405
R-Binary,0.05,0.0006688000213887124,9.130085304919763e-05,0.0013692937979123965
R-Binary,0.1,0.0008047561699413481,5.464491500956876e-05,0.001553104235422326
R-Binary,0.15,0.0010039119401196006,0.00021233849822697182,0.0017348536809313052
R-Binary,0.2,0.001084404852905524,0.00029206434193038177,0.001880817349643214
R-Binary,0.25,0.00111155226063519,0.0003593595401071015,0.001933485623075377
R-Binary,0.3,0.001209183886946737,0.00048036751361781044,0.0021326952299357623
Rank-K1,0.01,0.00038833525786099386,0.0001365442105905336,0.0007886050162315935
Rank-K1,0.02,0.0005838629442088674,0.00026555582159174185,0.0010213341266376748
Rank-K1,0.05,0.0007453366480592954,0.00029632375144648287,0.001346931211241789
Rank-K1,0.1,0.0009100397735024722,8.514137435177524e-06,0.0016388518218210862
Rank-K1,0.15,0.001086566936494398,0.00018722783249440034,0.0017896327075871846
