model,budget_fraction,gross_value_per_customer,ci_low,ci_high
Response,0.01,5.655497133952987e-05,-0.0005823443355711589,0.0007306208916293136
Response,0.02,0.00046053677280091825,-0.0002595840220878952,0.0013668083722911905
Response,0.05,0.0005896230271342105,-0.00039673584059541023,0.0016336796856664861
Response,0.1,0.0005053259055085434,-0.000753599693037657,0.0016844716092727727
Response,0.15,0.00024911980443521794,-0.0009694801388706949,0.0016954935666960522
Response,0.2,0.00037774888971874254,-0.0008586129130783692,0.0017425345321025016
Response,0.25,0.0004939088019537216,-0.0007240047545780963,0.001822551255357757
Response,0.3,0.0005792527055985168,-0.0006261325964188212,0.0018710734474247724
T-Under7,0.01,0.0008939171570904086,0.00017954760605485014,0.0014087759861252723
T-Under7,0.02,0.00020173971853563227,-0.0008919203546386441,0.00128325090457659
T-Under7,0.05,0.0006752462652246447,-0.0006329047453429576,0.00193281013651553
T-Under7,0.1,0.0004673578438806178,-0.000543404635265953,0.0017343144981788335
T-Under7,0.15,0.0003652882435494562,-0.0008563228237399508,0.0016984102929292189
T-Under7,0.2,0.000446817865971055,-0.0007957748669859613,0.0018063703248609399
T-Under7,0.25,0.0004491544214188931,-0.0007919171214361381,0.001850664124675183
T-Under7,0.3,0.0004870737463069647,-0.0007758300353720492,0.001865786897174187
Expected random (stochastic policy),0.01,7.856273303656347e-06,,
Expected random (stochastic policy),0.02,1.5712546607312694e-05,,
Expected random (stochastic policy),0.05,3.928136651828174e-05,,
Expected random (stochastic policy),0.1,7.856273303656348e-05,,
Expected random (stochastic policy),0.15,0.0001178440995548452,,
Expected random (stochastic policy),0.2,0.00015712546607312696,,
Expected random (stochastic policy),0.25,0.00019640683259140868,,
Expected random (stochastic policy),0.3,0.0002356881991096904,,
