model,fold_seed_a,fold_seed_b,budget_fraction,target_count,intersection_count,union_count,overlap_fraction,jaccard
Response,101,202,0.01,8387,6753,10021,0.8051746750924049,0.6738848418321525
Response,101,202,0.02,16775,13547,20003,0.8075707898658718,0.6772484127380893
Response-Sentinel,101,202,0.01,8387,6725,10049,0.8018361750327888,0.66922081799184
Response-Sentinel,101,202,0.02,16775,13555,19995,0.8080476900149032,0.6779194798699675
Anchored-R25,101,202,0.01,8387,6535,10239,0.7791820674853941,0.6382459224533645
Anchored-R25,101,202,0.02,16775,13302,20248,0.7929657228017883,0.6569537732121691
Anchored-R25-Sentinel,101,202,0.01,8387,6612,10162,0.7883629426493383,0.6506593190316867
Anchored-R25-Sentinel,101,202,0.02,16775,13405,20145,0.7991058122205663,0.6654256639364606
Anchored-Pattern-R,101,202,0.01,8387,6702,10072,0.7990938356981042,0.6654090548054011
Anchored-Pattern-R,101,202,0.02,16775,14155,19395,0.8438152011922504,0.7298272750708945
DINA-CATE-Sentinel,101,202,0.01,8387,5142,11632,0.6130916895194944,0.4420563961485557
DINA-CATE-Sentinel,101,202,0.02,16775,10983,22567,0.6547242921013413,0.486684096246732
