fold_seed,model,budget_fraction,target_count,treated_count,control_count,treated_events,control_events,total_events,boundary_tie_size
101,Response,0.01,8387,7244,1143,1122,141,1263,1
101,Response,0.02,16775,14554,2221,1409,169,1578,1
101,Response-Sentinel,0.01,8387,7248,1139,1124,143,1267,1
101,Response-Sentinel,0.02,16775,14578,2197,1400,168,1568,1
101,Anchored-R25,0.01,8387,7293,1094,1105,135,1240,1
101,Anchored-R25,0.02,16775,14613,2162,1369,158,1527,1
101,Anchored-R25-Sentinel,0.01,8387,7285,1102,1102,136,1238,1
101,Anchored-R25-Sentinel,0.02,16775,14600,2175,1376,158,1534,1
101,Anchored-Pattern-R,0.01,8387,7244,1143,1112,135,1247,1
101,Anchored-Pattern-R,0.02,16775,14602,2173,1404,163,1567,1
101,DINA-CATE-Sentinel,0.01,8387,7283,1104,834,84,918,1
101,DINA-CATE-Sentinel,0.02,16775,14625,2150,1104,109,1213,1
202,Response,0.01,8387,7284,1103,1117,137,1254,1
202,Response,0.02,16775,14584,2191,1419,167,1586,1
202,Response-Sentinel,0.01,8387,7276,1111,1128,143,1271,1
202,Response-Sentinel,0.02,16775,14549,2226,1414,164,1578,1
202,Anchored-R25,0.01,8387,7329,1058,1113,135,1248,1
202,Anchored-R25,0.02,16775,14586,2189,1396,158,1554,1
202,Anchored-R25-Sentinel,0.01,8387,7310,1077,1109,132,1241,1
202,Anchored-R25-Sentinel,0.02,16775,14607,2168,1404,153,1557,1
202,Anchored-Pattern-R,0.01,8387,7287,1100,1136,135,1271,1
202,Anchored-Pattern-R,0.02,16775,14599,2176,1415,161,1576,1
202,DINA-CATE-Sentinel,0.01,8387,7279,1108,857,91,948,1
202,DINA-CATE-Sentinel,0.02,16775,14627,2148,1126,110,1236,1
