model,candidate,validation_seeds,qini_median,qini_mean,qini_std,qini_min,qini_max,median_delta_vs_baseline,mean_delta_vs_baseline,seed_wins_vs_baseline,auuc_mean,fit_seconds_total
Response,baseline,2,0.12162489289507247,0.12162489289507247,0.05724715239957328,0.08114504322971447,0.16210474256043048,0.0,0.0,0,0.0040001935652955395,0.9
Response,regularized,2,0.15908802442809855,0.15908802442809855,0.026567045211406546,0.14030228660302338,0.1778737622531737,0.037463131533026064,0.037463131533026064,1,0.005242028504416557,1.3900000000000001
S-Learner,baseline,2,0.09141605191238719,0.09141605191238719,0.09102652335981849,0.02705057997682385,0.15578152384795052,0.0,0.0,0,0.003161600412025456,0.527
S-Learner,regularized_regression,2,0.06577880820973343,0.06577880820973343,0.03053948772330176,0.04418412934662345,0.08737348707284343,-0.02563724370265375,-0.02563724370265375,1,0.002148022565266198,1.547
T-Learner,baseline,2,0.02599637397788622,0.02599637397788622,0.0768708376781483,-0.028359516619822805,0.08035226457559524,0.0,0.0,0,0.0008647409924444395,0.493
T-Learner,regularized_probability,2,0.046842189929770316,0.046842189929770316,0.00995999525927272,0.03979940974135271,0.05388497011818792,0.020845815951884096,0.020845815951884096,1,0.0015495216649101576,1.484
T-Learner,under7_probability,2,0.19089725003973063,0.19089725003973063,0.025771455025585373,0.17267407943009508,0.20912042064936617,0.1649008760618444,0.1649008760618444,2,0.006265673992759874,0.479
X-Learner,baseline,2,0.1099469742339757,0.1099469742339757,0.002299040389543605,0.10832130718430766,0.11157264128364375,0.0,0.0,0,0.0036502007429270182,1.72
X-Learner,probability_fixed,2,0.09276644400731551,0.09276644400731551,0.0204957257412989,0.07827377735030339,0.10725911066432765,-0.017180530226660183,-0.017180530226660183,0,0.0030546960136662335,2.654
X-Learner,under7_probability_fixed,2,0.15922825752388917,0.15922825752388917,0.02503872588910091,0.14152320465543475,0.17693331039234358,0.04928128328991346,0.04928128328991346,2,0.005202294287183613,0.396
DR-Learner,baseline,2,-0.12171570061846607,-0.12171570061846607,0.026429045274628225,-0.14040385775244196,-0.10302754348449017,0.0,0.0,0,-0.004036445731550179,1.9529999999999998
DR-Learner,binary_outcome,2,0.15441935699225115,0.15441935699225115,0.0019431559033013042,0.15304533827612413,0.15579337570837817,0.2761350576107172,0.2761350576107172,2,0.005077493169643288,6.12
