model,candidate,validation_seeds,qini_median,qini_mean,qini_std,qini_min,qini_max,median_delta_vs_baseline,mean_delta_vs_baseline,seed_wins_vs_baseline,auuc_mean,fit_seconds_total
Response,baseline,3,0.16127650219156864,0.16450645838011982,0.0060452560768148225,0.1607622706531788,0.17148060229561204,0.0,0.0,0,0.0053221759363514315,26.308999999999997
Response,regularized,3,0.19027713270988264,0.1897457879502902,0.0024837163131596193,0.18703939819970003,0.19192083294128798,0.025762896008131392,0.025239329570170388,3,0.006142439025699112,57.033
S-Learner,baseline,3,0.17945196038614114,0.18622346725044406,0.01488016047497975,0.1759333588504778,0.2032850825147132,0.0,0.0,0,0.00603047122477902,28.868000000000002
S-Learner,regularized_regression,3,0.1882134028141399,0.19224153379079142,0.00816497065306021,0.1868733661216275,0.20163783243660685,0.010940007271149688,0.0060180665403473665,2,0.006220355101745498,66.924
T-Learner,baseline,3,0.15459788209200112,0.1538828072938184,0.015768639389876583,0.13776879537684325,0.1692817444126108,0.0,0.0,0,0.004974265500290512,27.436
T-Learner,regularized_probability,3,0.14220982789885445,0.12448588761532296,0.04875585755322747,0.06934724839107066,0.16190058655604375,-0.012388054193146675,-0.029396919678495434,0,0.004021641721465056,75.899
T-Learner,under7_probability,3,0.12155519741677673,0.12603356197254165,0.03060188056740121,0.09791762470790312,0.15862786379294508,-0.03304268467522439,-0.027849245321276746,0,0.004073654857127272,32.400999999999996
X-Learner,baseline,3,0.14349863821170536,0.15808713009360473,0.027302133243043543,0.141178309946149,0.18958444212295983,0.0,0.0,0,0.005109398319813039,87.578
X-Learner,probability_fixed,3,0.16660321949093995,0.17352959619808753,0.01785471869084711,0.16017583004698666,0.193809739056336,0.01899752010083766,0.015442466104482808,3,0.005618958989414689,176.279
X-Learner,under7_probability_fixed,3,0.1872031455536617,0.18496561516007914,0.009850084802135362,0.17418924860929713,0.19350445131727861,0.030690610397591772,0.026878485066474417,3,0.005979029682995619,51.173
DR-Learner,baseline,3,0.14987688356098738,0.15634664310614907,0.011333018124965765,0.14973043368049177,0.16943261207696808,0.0,0.0,0,0.0050437659269538014,149.142
DR-Learner,binary_outcome,3,0.15710547569722003,0.14252092006794273,0.026609482874670715,0.111807868746014,0.1586494157605942,-0.010783196316373894,-0.013825723038206339,1,0.004607656099370622,347.155
