feature,mean_treatment,mean_control,smd,abs_smd
f0,19.616386,19.641096,-0.0045879115,0.0045879115
f1,10.070324,10.068122,0.022073636,0.022073636
f2,8.44604,8.447674,-0.0054503437,0.0054503437
f3,4.171539,4.235098,-0.049030736,0.049030736
f4,10.338847,10.335402,0.0102085965,0.0102085965
f5,4.0264215,4.03939,-0.03128372,0.03128372
f6,-4.1779737,-3.991677,-0.041182872,0.041182872
f7,5.104782,5.0838175,0.017596921,0.017596921
f8,3.9335444,3.9345462,-0.017849183,0.017849183
f9,16.038374,15.909148,0.018622104,0.018622104
f10,5.3333707,5.331663,0.010280179,0.010280179
f11,-0.17096803,-0.17084417,-0.0054608732,0.0054608732
