model_a,model_b,observed_qini_a,observed_qini_b,observed_difference_a_minus_b,difference_ci_low,difference_ci_high,bootstrap_probability_a_greater_b,n_boot
Response,S-Learner,0.18788585912141081,0.1772037237368521,0.010682135384558727,-0.014606275241135178,0.033673606562786354,0.842,500
Response,T-Learner,0.18788585912141081,0.1420206254711735,0.045865233650237314,0.014413608814985551,0.07777711043597327,1.0,500
Response,X-Learner,0.18788585912141081,0.1671680288411912,0.020717830280219618,-0.003807118940847684,0.04562602231233176,0.958,500
Response,DR-Learner,0.18788585912141081,0.1539669246378558,0.03391893448355501,0.004007514579491643,0.06257090156770788,0.986,500
S-Learner,T-Learner,0.1772037237368521,0.1420206254711735,0.035183098265678586,0.006171149957152503,0.06429678013292302,0.99,500
S-Learner,X-Learner,0.1772037237368521,0.1671680288411912,0.01003569489566089,-0.0038609323074420858,0.023772832928504437,0.926,500
S-Learner,DR-Learner,0.1772037237368521,0.1539669246378558,0.023236799098996286,-0.0009681690428673475,0.05352173488426686,0.968,500
T-Learner,X-Learner,0.1420206254711735,0.1671680288411912,-0.025147403370017696,-0.055985662008082346,0.004474581588866941,0.062,500
T-Learner,DR-Learner,0.1420206254711735,0.1539669246378558,-0.0119462991666823,-0.041139975112622504,0.016640330394493967,0.204,500
X-Learner,DR-Learner,0.1671680288411912,0.1539669246378558,0.013201104203335395,-0.013043746586035425,0.04264207665174353,0.828,500
