model,decile,target_fraction,n_decile,mean_score_decile,decile_n_treatment,decile_n_control,decile_conversion_treatment,decile_conversion_control,decile_observed_uplift_rate,decile_uplift_ci_low,decile_uplift_ci_high,n_targeted_cumulative,mean_score_cumulative,cumulative_n_treatment,cumulative_n_control,cumulative_conversion_treatment,cumulative_conversion_control,cumulative_observed_uplift_rate,cumulative_uplift_ci_low,cumulative_uplift_ci_high,estimated_incremental_conversions_cumulative,incremental_conversions_ci_low,incremental_conversions_ci_high,share_of_full_incremental_estimate
Response,1,0.1,209694,0.025007929161690243,181000,28694,0.02471270718232044,0.016344880462814525,0.008367826719505915,0.006735631743837308,0.010000021695174522,209694,0.025007929161690243,181000,28694,0.02471270718232044,0.016344880462814525,0.008367826719505915,0.006735631743837308,0.010000021695174522,1754.6830561200734,1412.4215628922204,2096.944549347926,0.7274332292482828
Response,2,0.2,209694,0.0019833284749177994,178349,31345,0.0018503047395836253,0.001308023608230978,0.0005422811313526474,9.520025139115603e-05,0.0009893620113141388,419388,0.01349562881830402,359349,60039,0.013365836554435939,0.008494478588917205,0.004871357965518734,0.004046809691190961,0.005695906239846507,2042.9890744429708,1697.183422769195,2388.794726116747,0.8469553145552879
Response,3,0.3,209694,0.0007161497568272473,177821,31873,0.0008772867096687118,0.00040786872901829135,0.0004694179806504205,0.00020850468732673056,0.0007303312739741104,629082,0.009235802464478431,537170,91912,0.009231714354859729,0.005690225433022891,0.0035414889218368375,0.00299204392061365,0.004090933923060025,2227.8869339269613,1882.2409736674763,2573.5328941864464,0.923607816861283
Response,4,0.4,209694,0.0003065508496679408,177746,31948,0.0003713163728016383,0.00028170777513459374,8.960859766704457e-05,-0.00011505393257644705,0.0002942711279105362,838776,0.0070034895607758085,714916,123860,0.007028797788831136,0.004295171968351365,0.002733625820479771,0.0023211343967538796,0.003146117244205662,2292.8997311987405,1946.9118247716322,2638.8876376258486,0.950559960097023
Response,5,0.5,209694,0.00017418218683627634,177785,31909,0.00019686700227803246,9.401736187282584e-05,0.00010284964040520661,-2.1934161508527157e-05,0.00022763344231894038,1048470,0.005637628085987901,892701,155769,0.005668191253286375,0.0034345729894908485,0.0022336182637955264,0.0019039715027799938,0.002563265024811059,2341.8817410416955,1996.25700151974,2687.506480563651,0.9708662720949965
Response,6,0.6,209694,0.00010745968318098882,177607,32087,0.00012949940036147223,6.233053884750834e-05,6.716886151396389e-05,-3.4136162828741755e-05,0.00016847388585666952,1258164,0.00471593335218675,1070308,187856,0.00474910025899087,0.0028585725236351246,0.001890527735355745,0.001616202002358146,0.002164853468353344,2378.5939376261254,2033.4471760949343,2723.7406991573166,0.9860859276453617
Response,7,0.7,209694,7.858547542451103e-05,178286,31408,8.413448055371706e-05,9.551706571574121e-05,-1.138258516202415e-05,-0.00012754871380779378,0.00010478354348374548,1467858,0.0040534550840778585,1248594,219264,0.0040829925500202625,0.002462784588441331,0.0016202079615789317,0.0013845094238483858,0.0018559064993094777,2378.2352180673274,2032.2632338712438,2724.2072022634115,0.9859372144483313
Response,8,0.8,209694,7.383447462384272e-05,178105,31589,7.860531708823446e-05,3.165658931906676e-05,4.69487277691677e-05,-2.7516204330765665e-05,0.00012141365986910108,1677552,0.003556002507896106,1426699,250853,0.0035830963644048253,0.0021566415390686976,0.0014264548253361277,0.0012201314086452125,0.001632778242027043,2392.952145152272,2046.8338848355934,2739.07040546895,0.9920383628903094
Response,9,0.9,209694,7.184679439900735e-05,178081,31613,4.492337756414216e-05,0.0,4.492337756414216e-05,1.3793764400164099e-05,7.605299072812021e-05,1887246,0.0031688740952853173,1604780,282466,0.003190468475429654,0.0019152747587320245,0.0012751937166976296,0.0010918595926754102,0.001458527840719849,2406.6042410627347,2060.6076488382973,2752.600833287172,0.9976980677467036
Response,10,1.0,209694,6.83018501047965e-05,177619,32075,0.002178820959469426,0.002151208106001559,2.76128534678669e-05,-0.000523854251474172,0.0005790799584099058,2096940,0.002858816870767265,1782399,314541,0.0030896561319884042,0.0019393338229356427,0.0011503223090527615,0.0009763154533005904,0.0013243291648049327,2412.156862745098,2047.27492664414,2777.0387988460557,1.0
