run_id,policy,budget_fraction,contact_cost_assumption,value_per_conversion_assumption,target_fraction,gross_incremental_conversions_per_customer_ipw,gross_incremental_conversions_per_customer_dr,net_scenario_value_per_customer_ipw,net_scenario_value_per_customer_dr,is_monetary_observation,interpretation
sprint2-local-exact-calibration-v1,Treat none,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.01,0.0,1.0,0.009999577956148928,2.524687212081068e-05,2.7543074310305624e-05,2.524687212081068e-05,2.7543074310305624e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.01,0.0,1.0,0.009999577956148928,0.0006308908100947845,0.0005260209155813392,0.0006308908100947845,0.0005260209155813392,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.01,0.0,1.0,0.009999577956148928,0.000591057069490455,0.00046336109583761136,0.000591057069490455,0.00046336109583761136,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.01,0.0,1.0,0.009999577956148928,0.0005837635196657711,0.00046411177071254816,0.0005837635196657711,0.00046411177071254816,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.01,0.0,1.0,0.009999577956148928,0.0004886667402160371,0.00042961412835906956,0.0004886667402160371,0.00042961412835906956,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.01,0.0,1.0,0.009999577956148928,0.0005837635196657711,0.00046411177071254816,0.0005837635196657711,0.00046411177071254816,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.01,0.00025,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.01,0.00025,1.0,0.009999577956148928,2.524687212081068e-05,2.7543074310305624e-05,2.2746977631773447e-05,2.504317982126839e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.01,0.00025,1.0,0.009999577956148928,0.0006308908100947845,0.0005260209155813392,0.0006283909156057473,0.000523521021092302,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.01,0.00025,1.0,0.009999577956148928,0.000591057069490455,0.00046336109583761136,0.0005885571750014178,0.0004608612013485741,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.01,0.00025,1.0,0.009999577956148928,0.0005837635196657711,0.00046411177071254816,0.0005812636251767339,0.0004616118762235109,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,T-LocalExact top-k,0.01,0.00025,1.0,0.009999577956148928,0.0004886667402160371,0.00042961412835906956,0.0004861668457269999,0.0004271142338700323,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated cost-aware,0.01,0.00025,1.0,0.009999577956148928,0.0005837635196657711,0.00046411177071254816,0.0005812636251767339,0.0004616118762235109,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Treat none,0.01,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Random top-k,0.01,0.0005,1.0,0.009999577956148928,2.524687212081068e-05,2.7543074310305624e-05,2.0247083142736217e-05,2.254328533223116e-05,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,Response top-k,0.01,0.0005,1.0,0.009999577956148928,0.0006308908100947845,0.0005260209155813392,0.00062589102111671,0.0005210211266032647,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Renormalized top-k,0.01,0.0005,1.0,0.009999577956148928,0.000591057069490455,0.00046336109583761136,0.0005860572805123805,0.0004583613068595369,False,conversion-equivalent assumption scenario
sprint2-local-exact-calibration-v1,X-Calibrated top-k,0.01,0.0005,1.0,0.009999577956148928,0.0005837635196657711,0.00046411177071254816,0.0005787637306876966,0.0004591119817344737,False,conversion-equivalent assumption scenario
